"","perl_cutting_edge_programming_language","perl_encouraged_at_workplace","perl_good_language_for_startup","perl_easy_to_maintain","perl_code_scales_well","management_encourages_perl_for_new_projects","management_views_perl_as_cutting_edge","management_views_perl_as_easy_to_maintain","management_thinks_perl_scales_well","perl_good_first_programming_language","perl_good_tool_for_beginners","perl_good_tool_early_career_programmers","perl_good_tool_experienced_programmers","perl_good_tool_system_administrators","perl_good_tool_network_engineers","perl_good_tool_embedded_systems_programmers","perl_good_tool_applications_programmers"
"1242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1244",7,5,6,6,6,4,4,4,4,6,6,6,7,7,6,1,6
"1245",5,3,5,4,4,3,2,2,3,3,3,5,6,5,5,4,5
"1246",5,7,6,7,5,7,6,6,6,7,7,7,6,7,7,5,5
"1247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1248",7,7,5,6,6,6,1,1,1,3,3,3,7,7,7,6,6
"1249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1251",6,7,6,5,5,7,6,6,5,2,2,5,7,7,7,5,4
"1252",7,5,6,6,6,3,2,4,4,3,4,6,7,7,3,2,5
"1253",6,1,5,6,6,1,1,1,1,5,5,5,6,7,7,4,5
"1254",2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2
"1255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1256",6,4,7,6,5,3,3,3,3,5,5,5,7,7,7,4,7
"1257",3,1,4,4,6,1,3,1,1,4,4,1,6,6,6,1,1
"1258",5,5,5,5,5,3,3,4,4,5,5,6,6,6,6,6,6
"1259",4,6,5,5,5,6,1,6,6,5,6,6,6,6,6,4,6
"1260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1262",3,7,2,2,2,7,7,7,7,2,2,4,5,6,5,1,2
"1263",7,5,7,7,7,5,5,5,5,7,7,7,7,7,7,7,7
"1264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1265",4,6,5,3,5,4,5,4,1,2,2,3,5,6,6,1,3
"1266",6,7,6,4,6,6,5,5,6,6,6,6,6,6,6,5,6
"1267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1268",5,7,6,7,7,4,2,3,1,6,6,6,7,7,7,1,7
"1269",5,4,5,5,5,4,3,3,5,4,6,6,6,7,6,6,6
"1270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1271",4,6,5,4,5,4,4,4,5,4,5,6,7,6,5,3,3
"1272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1273",6,7,6,5,6,1,1,1,1,4,4,6,6,6,6,3,7
"1274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1276",2,4,1,1,6,2,2,1,1,2,2,3,4,4,1,1,5
"1277",1,4,6,6,1,3,1,1,1,5,5,1,1,7,6,1,1
"1278",7,4,3,5,6,1,1,1,1,2,3,5,7,7,7,5,5
"1279",5,3,4,5,6,3,3,3,3,3,3,3,6,6,6,6,5
"1280",1,2,4,3,1,1,1,1,1,6,6,7,4,7,7,1,2
"1281",5,4,5,6,5,4,4,4,4,4,4,4,6,6,5,5,5
"1282",7,7,6,6,7,7,7,7,7,5,6,7,7,7,7,4,7
"1283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1284",4,5,NA,4,1,2,2,1,1,3,5,6,7,7,1,2,3
"1285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1286",6,7,6,6,6,7,5,7,6,7,7,6,6,6,6,2,6
"1287",7,3,3,3,6,2,2,2,2,6,6,6,6,6,6,6,6
"1288",6,1,6,7,7,1,1,1,1,3,5,6,7,7,7,6,7
"1289",6,4,6,6,1,5,1,1,1,5,6,6,6,7,6,1,6
"1290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1293",5,5,5,4,4,5,4,5,4,3,3,3,5,6,5,4,4
"1294",4,5,3,2,3,5,2,2,2,5,5,5,6,7,6,5,3
"1295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1296",5,2,4,3,6,2,2,2,1,2,3,4,6,7,6,3,4
"1297",7,7,7,5,6,7,7,6,5,6,6,6,7,7,7,5,5
"1298",4,6,6,3,1,1,1,1,1,3,3,6,6,6,1,1,4
"1299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1301",3,5,3,4,5,3,2,2,2,3,3,4,7,7,7,1,6
"1302",6,1,6,6,6,1,1,1,1,6,6,6,6,7,7,1,6
"1303",5,6,1,2,5,1,1,1,1,2,3,5,6,7,NA,2,4
"1304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1305",3,2,6,5,6,2,2,3,5,6,6,7,7,7,7,3,4
"1306",6,6,6,5,6,3,6,5,6,6,6,6,6,6,6,5,6
"1307",4,6,6,5,1,6,3,6,1,5,5,6,7,7,7,1,NA
"1308",4,3,7,5,6,4,5,5,NA,3,6,7,7,7,1,1,5
"1309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1310",3,4,4,4,4,3,3,3,3,3,3,3,3,5,4,4,3
"1311",6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,1,7
"1312",4,4,6,6,6,4,3,3,3,4,4,4,7,7,7,3,6
"1313",6,6,6,5,6,2,2,2,5,4,4,4,5,6,6,4,4
"1314",2,2,2,2,4,2,2,2,2,3,3,3,3,5,5,4,2
"1315",6,6,5,6,6,6,1,6,6,2,2,2,6,6,6,2,4
"1316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1317",7,4,6,5,6,4,3,2,4,4,5,6,7,7,7,1,6
"1318",5,3,3,2,3,2,3,1,1,2,2,3,6,5,1,1,5
"1319",7,6,7,6,6,1,1,1,1,4,6,6,7,7,7,7,7
"1320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1321",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"1322",7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7
"1323",5,7,4,6,1,6,4,5,5,4,4,4,6,6,1,1,1
"1324",7,7,7,6,6,7,7,6,7,5,6,7,7,7,7,1,7
"1325",5,7,7,7,6,5,4,4,6,4,6,7,7,7,1,1,6
"1326",6,3,6,4,4,3,2,2,2,4,6,6,6,7,6,5,7
"1327",6,6,4,4,6,6,6,4,6,4,4,1,6,6,6,5,6
"1328",6,3,6,6,6,3,3,3,3,6,6,7,7,6,5,NA,6
"1329",4,6,6,6,6,6,3,4,5,6,7,7,7,7,6,4,6
"1330",4,3,6,6,3,3,3,3,3,6,6,6,6,6,5,5,5
"1331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1332",6,6,6,5,5,NA,1,1,1,6,6,6,6,1,1,1,4
"1333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1336",6,4,6,6,3,3,3,3,1,6,6,6,6,6,6,1,6
"1337",4,7,6,5,5,6,4,5,5,3,3,3,7,7,NA,2,4
"1338",3,3,2,3,2,2,2,2,2,3,3,4,5,4,4,4,2
"1339",4,3,6,6,5,3,3,5,4,5,5,5,6,6,6,6,6
"1340",6,3,1,1,1,1,1,1,1,3,6,7,7,7,7,3,3
"1341",5,3,5,5,5,3,4,4,4,5,6,7,7,7,7,1,6
"1342",4,5,4,5,6,3,3,3,3,3,3,4,6,7,7,4,4
"1343",5,4,6,6,6,1,1,1,1,5,5,6,7,7,1,1,1
"1344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1345",6,6,4,5,3,1,1,1,1,2,3,4,5,7,6,5,4
"1346",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"1347",6,4,6,6,6,3,3,3,3,6,6,6,6,6,5,6,6
"1348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1349",6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,1,6
"1350",5,6,5,4,5,1,1,1,1,4,5,5,7,7,7,6,6
"1351",7,7,7,5,6,1,1,1,1,5,4,5,7,7,7,1,6
"1352",3,7,7,4,5,7,3,1,1,2,2,7,7,7,1,1,6
"1353",6,7,7,5,6,6,6,6,6,7,7,1,6,5,5,1,5
"1354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1355",7,5,3,5,5,4,5,5,5,6,4,4,6,6,6,3,5
"1356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1357",4,6,5,5,5,4,4,5,5,6,5,4,7,7,7,5,7
"1358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1359",1,5,3,6,1,5,1,1,1,4,4,4,6,5,6,6,6
"1360",5,3,7,6,6,3,1,1,1,7,7,7,6,6,5,1,4
"1361",5,6,6,5,6,1,1,1,1,2,3,3,6,6,6,3,6
"1362",1,6,6,5,5,1,1,1,1,5,6,6,6,7,6,5,6
"1363",2,6,2,2,2,6,4,1,1,2,3,4,4,6,6,1,3
"1364",5,5,5,5,4,5,4,4,4,5,5,5,5,6,6,5,6
"1365",5,7,5,6,7,5,5,5,1,6,5,5,6,7,6,7,5
"1366",5,2,5,5,NA,1,1,1,1,4,4,4,7,7,7,1,6
"1367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1368",6,4,6,6,3,3,3,3,3,6,6,6,6,6,6,6,6
"1369",5,7,7,7,7,7,4,6,6,7,7,7,7,7,5,4,6
"1370",2,7,2,2,2,7,6,6,6,3,3,3,6,7,6,1,3
"1371",6,1,1,6,1,2,1,1,1,6,6,1,6,6,6,1,5
"1372",3,6,5,3,6,5,3,3,6,4,5,5,6,5,5,5,5
"1373",6,4,6,6,6,4,1,1,1,4,4,5,6,7,1,6,6
"1374",7,7,7,6,6,7,7,6,6,6,6,7,7,7,7,5,7
"1375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1376",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1377",4,7,5,5,6,5,4,5,5,3,6,6,6,7,6,3,3
"1378",5,3,1,2,1,1,1,1,1,6,6,6,6,7,5,5,5
"1379",6,2,6,6,6,2,2,2,2,6,6,6,6,7,1,1,5
"1380",5,6,5,5,5,5,4,4,4,4,6,7,7,1,1,1,6
"1381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1382",7,3,7,1,7,3,3,3,3,7,7,7,7,7,7,7,7
"1383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1385",5,6,6,4,6,6,6,6,6,3,4,5,7,7,7,2,6
"1386",7,7,NA,5,7,7,7,6,6,3,2,4,7,7,7,1,6
"1387",3,3,6,4,1,1,1,1,1,3,3,5,7,7,7,2,3
"1388",1,6,4,2,1,5,1,1,NA,3,4,5,6,7,7,1,5
"1389",7,1,6,5,1,1,1,1,1,6,6,6,6,7,7,1,1
"1390",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1391",6,5,5,4,6,3,4,2,6,5,6,6,7,7,7,6,5
"1392",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1393",5,1,5,5,5,1,1,1,1,7,6,6,6,7,6,1,4
"1394",4,1,6,4,4,1,1,1,1,4,6,7,7,7,7,1,5
"1395",3,6,1,1,3,1,1,1,1,3,3,5,6,7,5,3,3
"1396",4,5,3,2,NA,4,4,4,4,4,6,7,7,7,3,1,6
"1397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1398",5,6,4,2,3,2,4,2,3,4,6,6,6,7,6,2,4
"1399",7,6,7,6,7,4,4,5,6,4,5,6,7,7,7,7,7
"1400",4,7,6,6,6,7,4,6,6,6,5,6,6,6,6,6,6
"1401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1402",5,7,5,6,5,6,6,6,5,4,5,6,7,7,7,5,6
"1403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1404",6,6,6,6,6,6,6,6,6,6,3,5,6,6,6,6,5
"1405",6,7,7,6,4,6,1,6,1,6,6,6,1,6,1,1,5
"1406",5,4,4,4,4,4,4,4,4,4,4,5,6,6,5,5,5
"1407",6,7,6,4,5,7,3,4,3,6,6,6,6,6,6,6,6
"1408",6,6,5,3,4,5,6,3,4,4,4,4,7,6,6,1,5
"1409",6,6,5,6,6,1,1,1,1,5,5,5,7,7,7,7,7
"1410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1412",7,7,7,7,7,7,5,5,5,7,7,7,7,7,1,1,7
"1413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1415",NA,5,5,5,1,1,1,1,1,4,4,5,5,6,5,5,5
"1416",7,7,7,6,7,7,7,7,7,4,4,6,7,7,7,3,7
"1417",4,6,6,5,5,4,5,6,NA,7,6,6,6,7,7,4,5
"1418",4,7,6,6,6,6,5,6,6,6,5,5,5,7,7,5,5
"1419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1420",6,5,6,6,6,5,5,5,5,4,4,5,7,7,6,5,6
"1421",6,1,5,6,5,1,1,1,1,6,6,1,7,7,6,5,6
"1422",5,2,5,4,1,2,2,2,2,6,4,6,7,7,1,1,1
"1423",1,6,6,6,1,5,1,6,1,4,4,6,6,7,7,1,6
"1424",4,5,1,4,6,6,6,6,6,1,1,1,1,7,1,1,1
"1425",7,7,7,7,7,3,3,3,3,7,7,7,7,5,6,7,7
"1426",6,7,7,6,6,7,6,6,6,6,6,6,6,6,6,5,6
"1427",5,3,3,2,1,2,2,2,1,2,3,3,7,7,7,2,5
"1428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1429",6,1,5,6,6,1,1,1,1,3,3,5,6,7,7,7,6
"1430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1431",5,7,3,5,5,6,7,1,1,2,3,5,5,7,7,2,6
"1432",7,6,4,4,6,6,6,5,6,5,5,5,5,6,6,7,6
"1433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1434",6,6,6,6,6,6,4,4,4,5,6,6,7,7,7,1,6
"1435",4,3,6,6,4,3,3,1,NA,3,5,6,7,7,7,3,5
"1436",5,4,5,4,4,2,2,2,2,5,5,5,6,7,7,7,3
"1437",6,4,5,5,4,3,3,5,3,6,7,7,7,6,5,5,5
"1438",1,5,1,3,3,4,1,4,4,4,5,6,6,6,6,1,6
"1439",6,7,6,5,5,7,6,5,5,5,5,6,6,7,7,4,4
"1440",6,1,6,6,6,1,1,1,1,6,6,6,6,6,6,6,5
"1441",6,4,5,4,6,4,5,3,6,4,4,5,6,6,6,5,5
"1442",6,4,6,6,6,5,5,6,6,7,7,7,7,7,7,5,6
"1443",NA,6,5,5,5,1,1,1,1,5,5,NA,7,7,7,1,7
"1444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1445",2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,2,2
"1446",7,6,4,3,6,4,3,3,3,6,4,6,6,6,6,6,1
"1447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1448",5,3,6,6,6,1,1,1,1,1,1,6,6,7,1,3,5
"1449",6,5,6,5,5,6,5,5,5,4,4,6,6,7,7,7,7
"1450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1451",6,7,7,6,6,1,1,1,1,1,1,1,7,7,7,1,7
"1452",6,6,6,6,5,4,5,4,6,6,6,6,7,7,6,4,6
"1453",5,7,7,7,6,7,6,6,6,7,7,7,7,7,7,6,7
"1454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1455",7,5,5,6,6,5,5,4,5,3,3,7,7,6,4,7,7
"1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1457",7,7,6,5,6,5,5,5,5,3,4,6,7,7,7,7,7
"1458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1459",6,7,5,5,6,7,4,5,5,4,5,4,6,7,6,1,6
"1460",6,5,6,6,6,3,1,1,1,6,6,5,7,7,7,2,3
"1461",6,6,6,6,5,5,4,4,4,2,3,3,7,7,7,6,4
"1462",6,6,6,6,5,5,5,5,5,6,6,6,6,6,6,1,5
"1463",5,NA,3,5,6,2,2,3,3,6,6,5,7,6,1,1,6
"1464",6,7,5,5,6,5,5,5,6,3,3,5,4,6,3,3,6
"1465",5,2,5,5,5,2,2,1,1,5,6,6,6,7,7,1,4
"1466",5,5,3,3,3,1,1,1,1,6,6,6,6,7,7,4,3
"1467",7,1,6,6,6,1,1,1,1,7,4,6,7,7,7,1,1
"1468",5,1,5,5,5,1,1,1,1,4,4,5,6,7,7,1,4
"1469",5,4,5,3,5,4,1,1,1,2,2,3,6,5,4,2,4
"1470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1471",4,6,5,4,5,6,5,6,6,3,3,3,6,7,7,1,6
"1472",3,3,4,6,6,2,2,3,5,6,6,6,6,6,6,3,3
"1473",5,7,6,5,6,7,5,5,6,7,6,6,6,7,7,7,6
"1474",6,3,7,7,7,3,1,1,1,5,5,5,7,7,7,6,7
"1475",5,7,7,5,4,1,1,1,1,2,2,5,7,7,1,1,6
"1476",7,7,7,7,7,7,7,7,7,6,6,6,7,7,5,5,5
"1477",3,1,5,3,1,1,1,1,1,2,2,5,6,6,1,1,6
"1478",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1479",4,6,5,4,4,6,1,1,1,3,3,3,6,6,1,1,5
"1480",7,7,6,5,6,7,5,6,6,6,6,6,6,6,6,3,6
"1481",5,6,6,5,6,1,1,1,1,7,7,7,7,7,7,3,3
"1482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1483",1,1,6,6,6,4,4,4,4,6,6,6,6,7,6,6,5
"1484",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1485",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"1486",6,6,6,3,6,3,3,1,5,5,5,5,5,5,5,5,5
"1487",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1488",7,7,5,5,6,1,1,1,NA,4,6,6,7,7,6,6,6
"1489",6,7,6,6,6,7,6,6,6,6,6,7,7,7,7,3,5
"1490",6,7,5,5,6,6,6,6,6,5,5,6,7,7,7,1,7
"1491",5,7,6,6,6,6,5,6,6,5,7,7,7,7,7,7,4
"1492",6,3,6,5,5,4,4,4,4,6,5,7,7,7,7,6,7
"1493",5,6,1,5,6,5,4,5,1,3,3,5,6,7,6,1,4
"1494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1495",5,7,7,5,5,7,1,1,1,3,4,5,7,7,7,1,7
"1496",3,7,5,4,6,7,6,5,6,3,3,3,6,7,1,1,4
"1497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1499",6,6,5,5,3,3,3,3,3,6,6,6,6,6,6,4,6
"1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1501",6,5,6,5,5,1,1,1,1,4,4,6,7,7,7,5,4
"1502",4,7,7,6,6,7,3,3,6,6,6,2,7,7,6,3,3
"1503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1505",3,6,3,5,6,3,3,1,1,4,4,4,3,7,1,1,4
"1506",4,4,3,3,6,3,3,3,4,3,3,3,6,6,6,6,5
"1507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1508",5,5,6,6,6,1,1,1,1,4,5,4,6,6,6,5,6
"1509",3,3,1,5,1,3,2,2,1,2,3,4,5,7,7,7,5
"1510",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"1511",1,1,6,5,6,1,1,1,1,7,7,5,7,7,7,7,6
"1512",3,4,2,1,1,4,1,1,1,5,3,4,6,6,1,1,1
"1513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1514",6,7,7,7,5,7,6,7,5,7,7,5,7,7,7,4,4
"1515",2,5,4,4,3,4,3,4,4,3,3,4,6,7,7,5,4
"1516",7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,4,6
"1517",5,3,6,7,6,1,1,1,1,7,7,7,7,7,1,1,6
"1518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1519",3,6,3,4,4,5,3,3,3,6,6,6,6,6,6,1,4
"1520",5,7,7,5,6,7,5,6,7,4,4,6,6,6,6,3,6
"1521",6,6,6,5,4,5,1,1,1,6,6,6,6,7,7,1,7
"1522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1523",1,6,5,5,6,1,1,1,1,6,6,6,6,6,6,6,5
"1524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1525",4,6,5,5,4,6,5,5,6,7,7,7,7,7,7,5,4
"1526",6,7,5,5,6,7,6,6,7,3,5,6,6,7,5,2,6
"1527",7,7,6,6,7,7,7,6,7,5,5,6,7,7,7,1,7
"1528",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1529",5,6,5,5,3,3,3,4,6,6,6,6,6,6,6,5,6
"1530",3,6,6,5,6,6,3,4,5,6,6,6,6,6,6,6,6
"1531",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1532",6,6,7,6,5,1,1,1,1,6,6,7,7,7,6,6,6
"1533",2,6,5,5,4,4,2,5,2,7,6,5,5,6,6,4,5
"1534",2,7,2,4,5,7,5,6,7,2,2,2,2,3,2,2,2
"1535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1536",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1538",6,1,1,3,1,1,1,1,1,3,3,4,6,6,6,3,3
"1539",5,7,5,6,6,6,5,6,6,4,4,4,7,7,7,7,7
"1540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1541",7,1,7,6,7,1,1,1,1,7,7,7,7,7,5,5,5
"1542",7,5,7,7,7,3,1,1,1,7,7,1,7,7,1,1,7
"1543",1,1,4,6,6,1,1,1,1,5,5,5,6,7,1,1,1
"1544",1,2,3,4,5,6,7,6,5,4,3,2,1,2,3,4,5
"1545",7,4,5,6,6,4,5,3,3,5,6,6,6,7,6,1,6
"1546",6,4,3,4,5,3,3,3,3,4,4,4,7,7,7,7,4
"1547",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1548",7,7,6,6,6,5,5,5,5,7,7,7,7,7,7,6,6
"1549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1550",4,6,5,2,5,5,5,2,5,3,6,6,6,6,3,3,3
"1551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1552",1,3,1,3,6,1,1,3,1,3,3,5,6,6,6,1,6
"1553",5,7,7,6,5,7,5,5,5,4,5,5,6,7,6,5,5
"1554",1,1,5,6,1,1,6,6,1,3,3,3,6,7,4,2,1
"1555",5,5,1,7,7,6,1,1,1,5,5,5,5,7,6,1,5
"1556",4,1,3,3,5,1,1,1,1,3,3,6,7,7,7,1,7
"1557",4,6,4,4,4,3,2,3,3,4,4,3,6,6,6,5,6
"1558",5,6,6,5,6,6,1,1,1,5,6,7,7,7,7,1,5
"1559",6,6,1,4,4,6,1,6,6,1,1,1,6,7,1,1,1
"1560",7,7,6,5,6,7,4,4,5,5,5,6,6,6,1,1,7
"1561",6,6,6,6,6,6,6,6,6,7,6,7,7,7,6,6,6
"1562",6,2,6,6,6,1,1,1,1,5,5,6,7,7,6,2,4
"1563",4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4
"1564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
