"","language_1","language_2","language_3","language_4","language_5","where_perl_belongs_in_list"
"910","COBOL","vbscript","perl","vb.net","java",3
"911","javascript","","","","",1
"912","","","","","",
"913","javascript","ruby","","","",1
"914","","","","","",
"915","Javascript","PHP","C#","","",2
"916","","","","","",
"917","sql","plpgsql","JavaScript","Ruby","",1
"918","JavaScript","C","Lua","","",1
"919","unix shell script","Windows cmd script","","","",1
"920","c++","c","assembler","python","bash",6
"921","javascript","C++","HTML","Java","",1
"922","Perl","java ME",".net","","",1
"923","sh/bash/ksh","C","php","","",2
"924","javascript","python","ruby","objective c","java",1
"925","","","","","",
"926","java","c++","bash","groovy","",1
"927","Ruby","Haskell","","","",6
"928","c++","c","fortran","","",4
"929","C","Bourne shell","awk","","",1
"930","python","c++","java","bash","php",3
"931","bash","dcl","","","",1
"932","bash","C","","","",1
"933","scheme","javascript","php","java","bash",3
"934","c","python","scala","java","",2
"935","","","","","",1
"936","","","","","",1
"937","","","","","",
"938","","","","","",
"939","bash","c","javascript","","",1
"940","javascript (jquery rocks!)","C (historic)","php (yuck)","ruby (hmm)","",1
"941","java","python","erlang","","",3
"942","php","","","","",2
"943","c","python","java","","",3
"944","Java","Javascript","Erlang","","",2
"945","bash","","","","",1
"946","CAPL","c","","","",1
"947","xslt","php","java","javascript","matlab",6
"948","javascript","","","","",1
"949","Python","Java","Scheme","PHP","",2
"950","javascript","Bash","","","",1
"951","Python","Shell scripts","","","",3
"952","javascript","bash","pl/sql","php","",1
"953","","","","","",
"954","basic","cobol","awk","c","java",3
"955","","","","","",
"956","Python","javascript","Ruby","","",1
"957","Java","PHP","C","JavaScript","DotNet",1
"958","","","","","",
"959","c","c++","","","",1
"960","python","php","javascript","java","ruby",2
"961","","","","","",
"962","C++ Java","C#","Python VALA","Perl","",6
"963","Erlang","Python","c++","shell","Ruby",6
"964","bash","awk","python","","",1
"965","","","","","",
"966","php","sql","c","javascript","java",2
"967","C++","","","","",1
"968","C++","C#","","","",3
"969","java","coldfusion","clojure","","",3
"970","coldfusion","javascript","","","",1
"971","","","","","",
"972","Python","","","","",1
"973","java","Shell","Python","Perl","xslt",4
"974","php","c++","","","",2
"975","Perl","C++","c","javascript","xslt",2
"976","java","sql","bash","c++","c",1
"977","Java","Clojure","","","",1
"978","C","python","javascript","c++","haskell",1
"979","","","","","",1
"980","java","javascript","","","",3
"981","","","","","",
"982","java","pascal","python","","",4
"983","Java","","","","",6
"984","bash","c","c++","","python",1
"985","javascript","php","bash","","",1
"986","Clojure","Javascript","Python","Java","C",1
"987","java","php","c++","javascript","bash",2
"988","","","","","",
"989","c++","python","ruby","","",1
"990","sh/bash","make","c","ruby","python",1
"991","","","","","",
"992","java","C","","","",2
"993","","","","","",
"994","","","","","",
"995","","","","","",
"996","C++","C++/CLI","C#","VBScript/ASP","emacs lisp",3
"997","javascript","php","","","",1
"998","java","C#","C++","javascript","",1
"999","python","c","haskell","","",1
"1000","c#","rexx","clojure","","",1
"1001","c++","java","pl sql","javascript","awk",4
"1002","","","","","",
"1003","","","","","",2
"1004","PHP","java","","","",1
"1005","C","shell script (bash)","Objective C","Processing.org (Java language/library)","",2
"1006","c","objective  c","c++","java","php",3
"1007","","","","","",
"1008","","","","","",
"1009","c","objective c","c++","","",1
"1010","C","Java","Fortran","Haskell","",2
"1011","php","java","c","","",2
"1012","python","java","c++","javascript","",1
"1013","","","","","",
"1014","Java","c++","C","","",1
"1015","java","Objective C","c++","C","Common Lisp",1
"1016","javascript","c++","java","","",1
"1017","","","","","",
"1018","erlang","c","lisp scheme","","",1
"1019","C","C++","Java","","",2
"1020","php","bash","java","javascript","",1
"1021","C","C++","Python","Java","PHP",1
"1022","objective c","smalltalk","bash","ruby","",3
"1023","c++","","","","",1
"1024","JavaScript","","","","",1
"1025","PL/SQL","C","java","","",2
"1026","","","","","",
"1027","c","c++","python","vhdl","bash",6
"1028","c","c+","SH (Bourne)","","",2
"1029","php","html","","","",1
"1030","php","c","ruby","","",1
"1031","Python","PHP","java","c++","",2
"1032","ruby","javascript","dcl","bash","c++",2
"1033","C","Q/pure","D","Mozart","",1
"1034","bash","C","PHP","Python","matlab",1
"1035","","","","","",
"1036","Python","C++","C","","",4
"1037","java","javascript","php","bash","",3
"1038","Ksh/bash","C","SQL - ugh","","",2
"1039","","","","","",
"1040","c","java","javascript","","",1
"1041","C","Lua","Python","Scala","Java",2
"1042","","","","","",
"1043","groovy","javascript","java","","",1
"1044","","","","","",
"1045","","","","","",2
"1046","Java","C#","JavaScript","","",4
"1047","PHP","Python","C","","",2
"1048","","","","","",
"1049","bash","sql","php","","",1
"1050","php","c++","Pascal","","",1
"1051","Perl","MVS Basic Assembler","PHP","Python","Shell (Bash and Ksh, mostly)",1
"1052","Ruby","Java","javascript","","",2
"1053","bash","","","","",1
"1054","sql","r","","","",1
"1055","perl","javascript","python","","",1
"1056","Java","Shell (ksh, bash)","PHP","C","",2
"1057","c","bash","windows batch","","",1
"1058","","","","","",
"1059","","","","","",
"1060","Centura","c++","javascript","C#","VB.Net",3
"1061","ksh","forth","tcl tk","bash","comal",1
"1062","java","","","","",1
"1063","","","","","",1
"1064","","","","","",
"1065","sh","c++","python","","",2
"1066","","","","","",1
"1067","erlang","php","","","",1
"1068","php","javascript","","","",1
"1069","javascript","ruby","","","",3
"1070","C","php","python","tcl tk","",1
"1071","","","","","",
"1072","Javascript","C#","c++","ruby","MS batch",3
"1073","","","","","",
"1074","Perl","JavaScript","C","","",1
"1075","c++","","","","",2
"1076","javascript","sql","php","python","c",1
"1077","","","","","",
"1078","Scheme","Scala","C","Java","",3
"1079","","","","","",1
"1080","c","python","c++","java","",2
"1081","","","","","",
"1082","","","","","",
"1083","javascript","php","c","python","",1
"1084","AVR C","python","c","IDL","octave scripting",1
"1085","bash","lisp scheme","ruby","","",1
"1086","java","lisp","clojure","c","c++",1
"1087","c++","c","bash","java","javascript",3
"1088","","","","","",
"1089","c++","java","php","fortran","",3
"1090","","","","","",1
"1091","python","javascript","","","",2
"1092","c++","bash","java","","",2
"1093","java","c++","c","assembler","erlang",1
"1094","","","","","",
"1095","LSL","javascript","lua","","",1
"1096","php","python","javascript","java","",4
"1097","java","c++","c","matlab","common lisp",6
"1098","","","","","",
"1099","bash","","","","",1
"1100","","","","","",
"1101","","","","","",
"1102","","","","","",
"1103","sql","plsql","bash","java","c",2
"1104","Ansi C","Cocoa/XCode","Bash","javascript and HTML","TCL",1
"1105","ruby","php","","","",3
"1106","","","","","",
"1107","product specific scripting and parameter languages","xslt","javascript","bash","windows cmd",2
"1108","","","","","",
"1109","PHP","Java","C++","","",1
"1110","Standard ML","Scala","Groovy","","",1
"1111","shell","","","","",1
"1112","C++","C#","Windows Batch","","",4
"1113","","","","","",
"1114","Ruby","Python","","","",1
"1115","java","javascript","awk","python","ksh",2
"1116","","","","","",1
"1117","sql","bash","javascript","java","python",1
"1118","","","","","",
"1119","","","","","",
"1120","PHP","javascript","","","",3
"1121","c++","c","bash","tcsh","",3
"1122","java","php","shell","c","python",1
"1123","C#","Haskell","sh","Common Lisp","",3
"1124","","","","","",1
"1125","","","","","",
"1126","PHP","Python","","","",1
"1127","javascript","","","","",1
"1128","","","","","",
"1129","","","","","",
"1130","php","html","javascript","xml","ldap",1
"1131","Java","","","","",1
"1132","ruby","J","","","",1
"1133","PHP","Python","C++","","",2
"1134","","","","","",
"1135","","","","","",
"1136","sh","awk","C","","",1
"1137","javascript","sql","","","",1
"1138","C","python","bash","javascript","java",1
"1139","","","","","",
"1140","Perl","C#","Visual Basic 6","","",1
"1141","","","","","",
"1142","","","","","",
"1143","c++","","","","",1
"1144","plsql","php","python","","",1
"1145","shell","php","","","",1
"1146","C","Bourne Shell","Ruby","","",1
"1147","","","","","",
"1148","perl","ruby","","","",1
"1149","Python","JavaScript","Ruby","PHP","AppleScript",3
"1150","","","","","",
"1151","Java","Python","PHP","C","C++",5
"1152","","","","","",
"1153","C++","javascript","Java","ml","",1
"1154","python","javascript","haskell","java","",1
"1155","","","","","",
"1156","javascript","sql","","","",1
"1157","javascript","c","","","",1
"1158","java","python","javascript","c","",4
"1159","javascript","php","","","",1
"1160","Scheme","Python","Ruby","Javascript","Java",6
"1161","C","Javascript","HTML","","",1
"1162","","","","","",
"1163","bash","","","","",1
"1164","haskell","zsh","javascript","C","ruby",1
"1165","php","javascript","python","shell","make",1
"1166","c","c++","javascript","","",1
"1167","","","","","",
"1168","bash","","","","",1
"1169","","","","","",
"1170","bash","python","c++","","",1
"1171","","","","","",
"1172","","","","","",1
"1173","php","bash","java","C","lisp",1
"1174","","","","","",
"1175","c","javascript","java","python","bash",1
"1176","C","bourne shell","php","c++","java",1
"1177","Python","Java","C/CAL","SML","",2
"1178","bash","ruby","awk","sed","javascript",1
"1179","python","c","objective c","c++","c#",1
"1180","c","assembler","bash","","",2
"1181","","","","","",1
"1182","C","javascript","SQL","Go","bash",1
"1183","","","","","",
"1184","custom domain languages","C","make","sql","",1
"1185","c","","","","",1
"1186","","","","","",
"1187","","","","","",
"1188","Java","c++","Perl","","",3
"1189","no other currently","","","","",1
"1190","Scheme","C","C++","Emacs-Lisp","Python",4
"1191","objective c","javascript","","","",1
"1192","","","","","",
"1193","javascript","html ?","c","","",1
"1194","Inform 7","POSIX sh","Python","Applescript","C",1
"1195","javascript","java","python","c","c++",1
"1196","","","","","",
"1197","","","","","",
"1198","","","","","",
"1199","ruby","visual basic","javascript","java","",1
"1200","SQL","bash","javascript","java","",1
"1201","","","","","",
"1202","javascript","c","","","",1
"1203","python","java","","","",1
"1204","","","","","",
"1205","Bash","Java","Groovy","C++","SQL",1
"1206","C","C++","ruby","python","java",1
"1207","","","","","",
"1208","","","","","",
"1209","PHP","","","","",1
"1210","","","","","",
"1211","","","","","",1
"1212","C","Java","R","matlab","assembler",5
"1213","C++","C","","","",1
"1214","","","","","",
"1215","javascript","C","bash","ruby","python",1
"1216","javascript","","","","",1
"1217","Perl","VB Script","","","",1
"1218","javascript","python","ruby","c","C#",1
"1219","c++","c","c# (mono)","","",2
"1220","C/C++","sql","javascript","","",6
"1221","c","python","bash","c++","",5
"1222","javascript","","","","",1
"1223","","","","","",
"1224","javascript","bash","","","",1
"1225","javascript","php","","","",1
"1226","GNU make","bash","C","","",1
"1227","","","","","",
"1228","ActionScript","Python","JavaScript","C","",1
"1229","php","ruby","bash","python","C",1
"1230","java","c","shell","","",1
"1231","php","c++","python","","",1
"1232","","","","","",
"1233","java","php","javascript","PL/SQL","awk",6
"1234","","","","","",
"1235","","","","","",3
"1236","c","python","","","",1
"1237","","","","","",
"1238","Perl 6","","","","",1
"1239","python","ksh","c","c++","java",3
"1240","","","","","",1
"1241","Bash","","","","",1
"1242","","","","","",
"1243","","","","","",
"1244","csh","javascript","c","","",1
"1245","PHP","C#","Javascript","Flex","Ruby",6
"1246","ruby","bash","python","haskell","java",1
"1247","","","","","",
"1248","c/c++","make (nbmake)","sql","shell","awk",2
"1249","","","","","",
"1250","","","","","",
"1251","PHP","javascript","","","",2
"1252","actionscript","java","csh","pl sql","",1
"1253","c#","visual basic","java","","",4
"1254","c","python","c++","bash","",6
"1255","","","","","",
"1256","php (sadly)","haskell (for fun)","lisp (for fun)","c","c++",2
"1257","Korn Shell","Perl","Tcl","C","Bash",2
"1258","","","","","",1
"1259","python","C","","","",2
"1260","","","","","",
"1261","","","","","",
"1262","perl","ruby","python","bash","java",6
"1263","javascript","java","php","","",1
"1264","","","","","",
"1265","java","","","","",2
"1266","C","lua","bash","sieve","",2
"1267","c#","ruby","","","",3
"1268","java","php","javascript","c","c++",1
"1269","java","lisp scheme","javascript","","",2
"1270","","","","","",
"1271","python","javascript","lisp scheme","c++","java",1
"1272","","","","","",
"1273","c","c++","python","","",2
"1274","","","","","",
"1275","","","","","",
"1276","Java","python","shell","C#","",4
"1277","","","","","",1
"1278","bash","php","javascript","C/C++","",1
"1279","C#","VBA","","","",3
"1280","python","bash","sql","","",1
"1281","cobol","c","fortran","","",1
"1282","Perl","bash","","","",1
"1283","","","","","",
"1284","c++","c","perl","ksh","",3
"1285","c","python","","","",1
"1286","Python","Javascript","","","",1
"1287","javascript","php","ruby","vb","c#",1
"1288","c","lisp","","","",1
"1289","C","","","","",1
"1290","","","","","",
"1291","","","","","",
"1292","","","","","",
"1293","java","c#","c++","","",2
"1294","bash","c","","","",1
"1295","matlab","maple","","","",2
"1296","ml","c++","python","c","",2
"1297","java","c++","systemverilog","","",1
"1298","PHP","javascript","visual basic","","",2
"1299","sql","bash","c++","php","lisp",1
"1300","","","","","",
"1301","ruby","","","","",1
"1302","java","","","","",1
"1303","c++","python","php","r","bash",5
"1304","","","","","",3
"1305","ruby","java","c","","",3
"1306","javascript","ruby","","","",1
"1307","python","javascript","","","",1
"1308","php","java","ruby","visual basic","",1
"1309","","","","","",
"1310","","","","","",1
"1311","C","","","","",1
"1312","C#","Python","PHP","Java","Visual Basic",2
"1313","javascript","sh","php","c","",1
"1314","php","javascript","actionscript","","",
"1315","php","bash","python","lisp scheme","ruby",1
"1316","","","","","",
"1317","javascript","php","shell scripting","","",3
"1318","PHP","Python","Javascript","","",4
"1319","javascript","","","","",1
"1320","","","","","",
"1321","python","c++","php","","",4
"1322","bash","javascript","c","c++","java",2
"1323","","","","","",1
"1324","c","javascript","","","",1
"1325","ruby","latex","javascript","","",1
"1326","Visual Basic for Applications","HAL/S (review)","Assembler (review)","","",1
"1327","php","sql","bash","c","ruby",1
"1328","python","bash shell","php","c","erlang",1
"1329","ruby","java","","","",1
"1330","python","c","pike","javascript","java",2
"1331","","","","","",
"1332","VBA","","","","",1
"1333","","","","","",
"1334","","","","","",
"1335","python","c","Objective-C","javascript","java",6
"1336","perl","bash","","","",1
"1337","javascript","php","Java","c","",1
"1338","Java","Python","C++","","",6
"1339","PHP","javascript","","","",1
"1340","c","java","ruby","c++","python",2
"1341","Java","Bash","Python","C++","Proprietary internal languages",2
"1342","ocaml","perl","c++","","",2
"1343","Python","Java","","","",3
"1344","","","","","",
"1345","python","erlang","c","brainfuck","lolcode",1
"1346","C","","","","",1
"1347","c++","C#","php","javascript","objective c",1
"1348","","","","","",
"1349","c","c++","bash","php","python",1
"1350","Shell scripting","python","","","",1
"1351","javascript","sql","bash","ruby","",1
"1352","SQL","Bourne shell scripting","Ruby","Redcode","",1
"1353","JavaScript","","","","",1
"1354","","","","","",
"1355","scheme","python","c","","",1
"1356","","","","","",
"1357","java","groovy","","","",1
"1358","","","","","",
"1359","php","","","","",2
"1360","Java","assembly","","","",1
"1361","PHP","VBA","JavaScript","Java","C",1
"1362","sh (+ assorted tools)","C","","","",1
"1363","Java","c++","","","",1
"1364","java","python","c/c++","","",1
"1365","PL/SQL","Javascript","C","","",2
"1366","PHP","c++","java","javascript","bash",3
"1367","C++","C#","","","",2
"1368","Emacs Lisp","Shell","Ruby","Haskell","Smalltalk",1
"1369","ruby","haskell","bash","","",2
"1370","python","javascript","ruby","","",1
"1371","python","fortran","","","",2
"1372","Java","Bourne shell","awk","C","",1
"1373","c","c++","fortran","","",3
"1374","javascript","c","bash","","",1
"1375","","","","","",
"1376","","","","","",1
"1377","javascript","php","","","",1
"1378","c++","c","scheme","","",3
"1379","javascript","","","","",1
"1380","Perl","javascript","php","Java","",1
"1381","","","","","",
"1382","php","sql","","","",3
"1383","","","","","",
"1384","c++","bash","python","","",1
"1385","perl","java","lisp scheme","","",1
"1386","javascript","php","java","","",1
"1387","vbscript","xslt","javascript","","",3
"1388","c++","python","","","",3
"1389","python","","","","",1
"1390","none","","","","",1
"1391","C++","C","shell","awk","python",2
"1392","","","","","",
"1393","PHP","visual basic","bash","","",2
"1394","lua","erlang","C","","",1
"1395","php","c","c++","java","",1
"1396","Java","Ruby","Clojure","C#","perl",5
"1397","","","","","",
"1398","Java","python","","","",2
"1399","php","c","javascript","","",1
"1400","Objective C","Javascript","Ruby","c++","c",1
"1401","","","","","",
"1402","csh","c","javascript","","",1
"1403","","","","","",
"1404","ruby","","","","",1
"1405","sh","c++","c","php","",1
"1406","java","groovy","shell","","",4
"1407","php","java","bash","ruby","",1
"1408","C++","Python","","","",2
"1409","c","","","","",1
"1410","","","","","",
"1411","","","","","",
"1412","sql","javascript","bash","","",1
"1413","","","","","",
"1414","","","","","",
"1415","c#","java","clojure","","",4
"1416","javascript","php","","","",1
"1417","java","php","javascript","C","matlab",3
"1418","javascript","php","","","",1
"1419","","","","","",
"1420","C","c++","C#","bash","sql",2
"1421","java","c","bash","pascal","python",3
"1422","C#","java","python","javascript","",1
"1423","bash","javascript","","","",1
"1424","PHP","JavaScript","","","",3
"1425","delphi","c","c++","Visal Basic","",1
"1426","","","","","",1
"1427","xsl","javascript","ruby","python","java",2
"1428","","","","","",
"1429","bash","C","python","","",1
"1430","","","","","",
"1431","C++","java","javascript","","",2
"1432","php","java","","","",1
"1433","","","","","",
"1434","javascript","bash","php","python","ruby",1
"1435","Java","Perl","RPG","","",2
"1436","C","bash","c++","ocaml","mathematica",3
"1437","C++","java","bash","","",4
"1438","Haskell","C#","Java","C","",3
"1439","4GL","shell scripts","","","",2
"1440","php","javascript","","","",3
"1441","ruby","C","bash","javascript","python",3
"1442","C","Python","","","",1
"1443","java","php","c#","","",1
"1444","java","c++","matlab","mathematica","",3
"1445","C#.net","asp.net","VBA","javascript","Java",6
"1446","php","java","javascript","","",1
"1447","","","","","",
"1448","C++","python","ruby","C","shell",1
"1449","java","php","csh","","",1
"1450","matlab","c++","c","perl","",4
"1451","JavaScript","Shell","C","SQL","Python",1
"1452","sh","c","make","emacs lisp","",1
"1453","c++","php","python","","",1
"1454","","","","","",
"1455","java","php","javascript","pl sql","ruby",5
"1456","python","c","java","pl/sql","",2
"1457","c++","C","Verilog","Javascript","Lisp",2
"1458","","","","","",
"1459","bash","c++","fortran","","",1
"1460","PHP","C# .NET","Shellscript","c","c++",3
"1461","Bash","Ruby","Scheme","Lisp","C",1
"1462","PHP","Progress/WebSpeed","","","",1
"1463","C#","VB.Net","javascript","Java","",3
"1464","php","python","bash","java","c",1
"1465","C#","javascript","","","",2
"1466","C++","PHP","C#","","",2
"1467","sh","C","awk","tcl ","php",2
"1468","","","","","",
"1469","c++","tcl tk","c","bash","python",3
"1470","","","","","",
"1471","java","","","","",1
"1472","c","java","","","",1
"1473","JavaScript","PHP","SQL","","",2
"1474","","","","","",
"1475","javascript","flex","java","","",3
"1476","PHP","","","","",1
"1477","java","python","sql","","",4
"1478","","","","","",
"1479","Perl","javascript","java","c++","",1
"1480","bash","php","","","",1
"1481","php","objective c","c","python","bash",1
"1482","","","","","",
"1483","","","","","",1
"1484","java","lisp scheme","python","c","haskell",4
"1485","javascript","bash","java","sql","python",1
"1486","javascript","php","","","",1
"1487","","","","","",
"1488","c","c++","","","",1
"1489","bourne shell","bourne again shell","","","",1
"1490","c","bash","javascript","c++","java",1
"1491","Java","pl sql","c++","","",1
"1492","Perl","c++","matlab","Visual Basic","fortran",1
"1493","c","sql","fortran","ruby","",2
"1494","","","","","",
"1495","javascript","bash","sql","awk","c",1
"1496","","","","","",1
"1497","","","","","",
"1498","","","","","",
"1499","PHP","Bash","javascript","java","",1
"1500","","","","","",
"1501","C++","C","bash","assembly","C#",3
"1502","SQL","Lua","VBA","C++","shell",1
"1503","","","","","",
"1504","","","","","",
"1505","actionscript","php","java","c","",3
"1506","javascript","","","","",1
"1507","","","","","",
"1508","C","shell","python","c++","emacs lisp",1
"1509","php","PowerShell","C#","c++","Java",3
"1510","","","","","",1
"1511","c#","c++","","","",2
"1512","php","java","python","actionscript","",4
"1513","","","","","",
"1514","ksh","java","c++","","",1
"1515","Java","JavaScript","Ruby","Python","Groovy",3
"1516","javascript","","","","",1
"1517","Java","c","","","",1
"1518","","","","","",
"1519","java","","","","",1
"1520","c++","javascript","c","emacs lisp","",1
"1521","java","shell","","","",1
"1522","","","","","",
"1523","/bin/sh","","","","",1
"1524","","","","","",
"1525","Perl","ruby","javascript","java","c++",1
"1526","objective C","C","bash","","",1
"1527","SQL","","","","",1
"1528","","","","","",
"1529","java","javascript","python","C","",1
"1530","bash","php","","","",1
"1531","php","c#","java","","",1
"1532","","","","","",1
"1533","java","c++","php","erlang","",1
"1534","Python","Javascript","Cython","C++","",1
"1535","","","","","",
"1536","","","","","",
"1537","","","","","",
"1538","bash","","","","",1
"1539","JavaScript","Bash","","","",1
"1540","","","","","",
"1541","R","python","","","",1
"1542","c++","freebasic","","","",1
"1543","PHP","","","","",1
"1544","","","","","",3
"1545","","","","","",2
"1546","pl sql","","","","",2
"1547","xslt","javascript","java","","",2
"1548","","","","","",1
"1549","","","","","",
"1550","c","php","","","",2
"1551","c++","c#","visual basic","php","",4
"1552","T-SQL","Windows batch","vbscript","powershell","",2
"1553","php","python","c","","",1
"1554","bash","pascal","","","",1
"1555","bash Shell Scripting","","","","",1
"1556","java","","","","",2
"1557","bash","lisp scheme","c","","",1
"1558","javascript","bash","","","",1
"1559","Bourne shell","C","Python","C++","Haskell",1
"1560","SQL","bash","python","","",1
"1561","javascript","bash","","","",1
"1562","c","vala","","","",1
"1563","groovy grails","","","","",2
"1564","","","","","",
"1565","sql","","","","",1
"1566","","","","","",
"1567","C","ksh","pl/sql","perl","python",5
"1568","","","","","",
"1569","C","bash","php","","",2
"1570","C++","C","C#","","",6
"1571","Python","C++","","","",3
"1572","perl","shell","python","","",1
"1573","C#","sql","c++","Perl","Javascript",3
"1574","","","","","",
"1575","javascript","c","sql","actionscript","",1
"1576","Python","Java","C#","C++","C",6
"1577","c","shell","c++","","",1
"1578","java","xslt","","","",1
"1579","ruby","java","javascript","lisp scheme","",6
"1580","java","python","bash","idoc","javascript",6
"1581","","","","","",
"1582","ruby","javascript","php","python","",5
"1583","","","","","",
"1584","","","","","",
"1585","bash","php","","","",1
"1586","bash","","","","",1
"1587","C","c++","csh","python","sql",2
"1588","perl","ruby","javascript","majic","spel",1
"1589","java","C#","ABAP","delphi","xslt",6
"1590","","","","","",
"1591","javascript","php","python","objective c","",3
"1592","assembler","sql","bash","c","basic",1
"1593","C++","C","python","bash","",5
"1594","scheme","common lisp","c","lua","haskell",4
"1595","ksh","awk","tcl tk","c","c++",1
"1596","c++","java","php","","",1
"1597","bash","","","","",1
"1598","php","MS Visual Basic 6","","","",1
"1599","","","","","",1
"1600","","","","","",1
"1601","c++","python","vb","javascript/html","shell script",6
"1602","","","","","",
"1603","PHP","VB.NET","C#","","",1
"1604","Perl","c++","C","java","",1
"1605","","","","","",
"1606","C++","PHP","","","",1
"1607","C/C++","sql","javascript","","",6
"1608","perl","c/c++","","","",1
"1609","vb.Net","C#","T-SQL","","",4
"1610","javascript","ruby","c","","",1
"1611","C","R","Matlab","Python","mathematica",3
"1612","perl","php","c","","",1
"1613","python","ruby","c","","",2
"1614","C++","Python","Shell","Perl","Java",3
"1615","php","bash","ruby","","",2
"1616","c","bash","","","",1
"1617","c","c++","java","python","php",6
"1618","Java","Clojure","python","bash","",5
"1619","","","","","",1
"1620","php","bash","c","","",1
"1621","c","javascript","","","",1
"1622","","","","","",
"1623","php","javascript","ruby","perl","",4
"1624","","","","","",
"1625","C++","","","","",1
"1626","java","C","javascript","python","PHP",1
"1627","Perl","visual basic","","","",1
"1628","","","","","",1
"1629","javascript","php","","","",1
"1630","javascript","","","","",1
"1631","applescript","ruby","bash","","",1
"1632","bash","javascript","php","","",1
"1633","PHP","C","","","",6
"1634","python","C++","C","Perl","java",4
"1635","Python","bash","Java","","",1
"1636","javascript","php","python","","",1
"1637","","","","","",
"1638","","","","","",
"1639","shell scripting","c","C++","","",2
"1640","Java","javascript","c#","","",2
"1641","C","javascript","","","",1
"1642","java","perl","bash","ruby","",2
"1643","","","","","",1
"1644","C","php","Lua","Smalltalk","Python",1
"1645","javascript","java","","","",1
"1646","javascript","sql","java","actionscript","c",1
"1647","C#","PHP","Java","python","",2
"1648","","","","","",
"1649","javascript","","","","",1
"1650","common lisp","c","javascript","php","",2
"1651","Javascript","Bash","","","",1
"1652","bash","C","php","","",
"1653","javascript","php","actionscript","","",1
"1654","sql","javascript","bash","","",1
"1655","","","","","",
"1656","Java","","","","",1
"1657","php","javascript","","","",3
"1658","JavaScript","PHP","C#","C++","",1
"1659","objective c","ruby","","","",1
"1660","","","","","",
"1661","javascript","sql","","","",2
"1662","","","","","",1
"1663","javascript","java","c","bash","",1
"1664","R","C/C++","php","java","javascript",3
"1665","","","","","",1
"1666","PHP","Javascript","c++","","",2
"1667","C++","Java","C","php","",1
"1668","javascript","sql","python","","",1
"1669","java","c#","c","python","",5
"1670","ksh","","","","",1
"1671","Perl","bash","","","",1
"1672","javascript","html","c","actionscript","",1
"1673","Java","PHP","","","",1
"1674","javascript","java","","","",1
"1675","","","","","",
"1676","","","","","",1
"1677","Bourne shell","Javascript","","","",1
"1678","PHP","Python","","","",1
"1679","","","","","",
"1680","","","","","",
"1681","C++","Java","Python","Bash","XHTML",1
"1682","SQL","ksh","C","","",1
"1683","ruby","groovy","java","javafx","javascript",5
"1684","","","","","",
"1685","php","C# .NET","bash","python","",1
"1686","","","","","",
"1687","","","","","",
"1688","","","","","",
"1689","Sybase Transact SQL","Unix csh","c++","","",4
"1690","shell, Bash","C","assembly","Python","J/APL",1
"1691","Emacs Lisp","bash","java","C++","erlang",1
"1692","","","","","",
"1693","erlang","haskell","prolog","scheme","Farnsworth",2
"1694","Java","VBA","VB .NET",".BAT","vbscript",1
"1695","","","","","",
"1696","","","","","",
"1697","","","","","",
"1698","C","","","","",1
"1699","sql","javascript","c++","python","php",1
"1700","php","r","c++","c","",2
"1701","c","bash","javascript","python","php",2
"1702","make","sh","","","",1
"1703","","","","","",
"1704","sql","vb .net","","","",2
"1705","c++","C","haskell","scheme","x++",1
"1706","javascript","bash","java","","",1
"1707","","","","","",
"1708","Python","Shell","","","",2
"1709","Ruby","javascript","Java","Python","",6
"1710","Python","javascript","Java","C","",6
"1711","python","clojure","erlang","java","",5
"1712","c++","python","php","vb","java",2
"1713","Ruby","C","","","",1
"1714","JavaScript","Java","","","",1
"1715","sql","javascript","","","",1
"1716","","","","","",
"1717","python","C++","bash","javascript","",1
"1718","javascript","vba","","","",1
"1719","bash","ruby","","","",1
"1720","sql","ksh","c#","c","javascript",3
"1721","C","PHP","bash","lua","python",4
"1722","PHP","python","","","",1
"1723","java","javascript","C","","",1
"1724","ruby","php","java","","",1
"1725","E (specman)","c, c++","matlab","shell","verilog",2
"1726","php","javascript","","","",3
"1727","","","","","",
"1728","Ruby on Rails","CSS/XHTML","","","",3
"1729","python","java","c","bash","",3
"1730","Ruby","PHP","Python","JavaScript","",3
"1731","","","","","",
"1732","bash","","","","",1
"1733","bash","C","csh","","",1
"1734","bash","Python","ruby","javascript","PHP",1
"1735","","","","","",
"1736","Java","ruby","scala","prolog","",1
"1737","python","java","Scala","Common Lisp","Javascript",1
"1738","","","","","",1
"1739","","","","","",
"1740","","","","","",
"1741","","","","","",
"1742","objective c","bash","","","",1
"1743","","","","","",
"1744","","","","","",
"1745","php","c++","","","",1
"1746","SQL","JavaScript","c","sh","c++",1
"1747","","","","","",
"1748","Javascript","sh","c","","",1
"1749","Python","Java","c","c++","",2
"1750","Java","Javascript","","","",3
"1751","","","","","",
"1752","php","groovy","","","",6
"1753","PHP","Java","Lisp","Prolog","",2
"1754","javascript","c++","c","ocaml","clojure",4
"1755","","","","","",
"1756","Java","Python","Javascript","","",4
"1757","PHP","c","bash","","",2
"1758","java","ksh","sql","c","c++",2
"1759","","","","","",1
"1760","python","c","java","visual basic","javascript",1
"1761","","","","","",
"1762","Python","C","","","",3
"1763","java","python","c","","",3
"1764","","","","","",
"1765","","","","","",
"1766","perl","C","objective-c","","",1
"1767","XSL","Java","Javascript","Perl","Lua",3
