"","CPAN_1","CPAN_2","CPAN_3","CPAN_4","CPAN_5"
"1144","DBI","XML::Twig","CGI::Application","Template","IO::File"
"1145","","","","",""
"1146","Test::More","Module::Build","Test::Builder","File::Spec","autodie"
"1147","","","","",""
"1148","catalyst","dbix::class","template toolkit","moose","data::dumper"
"1149","Template::Toolkit","","","",""
"1150","","","","",""
"1151","","","","",""
"1152","","","","",""
"1153","LWP","CGI::Application","CGI","DBI","DBD::mysql"
"1154","DBI::DBD","HTML::Mason","Data::Dumper","JSON",""
"1155","","","","",""
"1156","Moose","MooseX::Declare","XML::LibXML","XML::LibXSLT","JSON"
"1157","CGI","DBI","SQL::Abstract","mod_perl2","Crypt::SSLeay"
"1158","CGI","Text::CSV","HTML::TreeBuilder","",""
"1159","CGI","JSON","SSH::RPC::Client","LWP","Storable"
"1160","","","","",""
"1161","mod_perl","Moose","LWP::UserAgent","HTML::Template","DBI"
"1162","","","","",""
"1163","CGI","YAML","Template::Toolkit","",""
"1164","List::MoreUtils","Moose","YAML","DBI","MARC::Record"
"1165","Data::Dumper","DBI","Catalyst","XML::LibXML","BioPerl"
"1166","Win32::API","Win32API::File","Config","",""
"1167","","","","",""
"1168","","","","",""
"1169","","","","",""
"1170","DBI","YAML","CGI","Template","Cache::Memcached::Fast"
"1171","","","","",""
"1172","Moose","DBIx::Class","Catalyst","",""
"1173","DBI","Storable","Net::Server","Cache::Memcached","Bit::Vector"
"1174","","","","",""
"1175","","","","",""
"1176","DBI","DBD::Pg","JSON::XS","Log::Log4perl","Test::Harness"
"1177","","","","",""
"1178","Net::LDAP","Tk","File::Find","Getopt::Long","Pod::Usage"
"1179","Moose","Catalyst","MooseX::Declare","Log::Log4perl","POE"
"1180","Win32::SerialPort ","Tk","Tk::LineGraph","Getopt::Long","Win32::ODBC"
"1181","Getopt::Long","threads::shared","CGI::Application","",""
"1182","DBI","POE","HTML::Parser","LWP","Encode"
"1183","","","","",""
"1184","DBIx::Class","HTML::Mason","Net::Server","DateTime","Class::Data::Inheritable"
"1185","","","","",""
"1186","","","","",""
"1187","","","","",""
"1188","","","","",""
"1189","GEDCOM","","","",""
"1190","CGI","URI","HTTP::Request","LWP::UserAgent","XML::Parser"
"1191","DBI","Template::Toolkit","HTML::Template","XML::Simple","LWP"
"1192","","","","",""
"1193","IO::Socket","Net::SSLeay","Storable","DBI","IPC::Run"
"1194","CGI","XML::Simple","MIME::Lite","Net::SSH::Perl","List::MoreUtils"
"1195","Catalyst","DBIx::Class","Moose","XML::LibXML","Data::Dumper"
"1196","","","","",""
"1197","","","","",""
"1198","","","","",""
"1199","DBx::Class","Catalyst::Devel","DBD::Sybase","DateTime","Data::Dumper"
"1200","DBIx::Class","Moose","POE","DateTime","Catalyst"
"1201","","","","",""
"1202","","","","",""
"1203","List::Util, List::MoreUtils","XML::LibXML","Moose","GetOpt::Long","Graph"
"1204","","","","",""
"1205","XML::Twig","DBI","Tk","",""
"1206","DBD","Net","FTP","",""
"1207","","","","",""
"1208","","","","",""
"1209","","","","",""
"1210","","","","",""
"1211","CGI","DBI","Net::SMTP","LWP::Simple","Exporter"
"1212","","","","",""
"1213","Moose","Test::More","App::cpanminus","",""
"1214","","","","",""
"1215","Moose","JavaScript","Test::More","Devel::NYTProf","Devel::Cover"
"1216","DBI","YAML","Catalyst","",""
"1217","DBI","Template","","",""
"1218","Catalyst","DBI","JSON","Template","Test::More"
"1219","Tk::Zinc","Tk","Getopt::Long","Data::Serializer","Time::HiRes"
"1220","","","","",""
"1221","strict","warnings","LWP","",""
"1222","Dist::Zilla","App::Ack","App::cpanminus","Plack","Test::More"
"1223","","","","",""
"1224","Lemonldap::NG::Portal","Lemonldap::NG::Handler","Lemonldap::NG::Manager","Apache::Session","Regexp::Assemble"
"1225","Catalyst","DBIx::Class","Datetime","Template::Toolkit","Test::More"
"1226","File::Spec","Getopt::Long","Data::Dump","XML::Simple","Perl::Tk"
"1227","","","","",""
"1228","XML::Parser","XML::RSS","Parallel::ForkManager","POE","ACME::Jerkcity"
"1229","DBIx::Class","Catalyst","Moose","HTML::Mason","Catalyst::View::JSON"
"1230","DBI","DBD::Oracle","Net::FTP","Text::CSV_XS","Date::Calc"
"1231","DBI","DBD::Pg","Smart::Comments","Getopt::Std","Storable"
"1232","","","","",""
"1233","database access","xml processing","networking","regular expressions",""
"1234","","","","",""
"1235","","","","",""
"1236","Net::LDAP","Win32::OLE","DBI","Text::CSV_XS","DateTime"
"1237","","","","",""
"1238","CGI::FastTemplate","MIME::Types","Apache::Request","Apache::Constants","Archive::Zip"
"1239","DBI","DBI::DBD","DBD::ODBC","Encode::EBCDIC","Encode::IBM"
"1240","","","","",""
"1241","","","","",""
"1242","","","","",""
"1243","","","","",""
"1244","XML::Twig","Bio::*","","",""
"1245","","","","",""
"1246","Net::Ping","Getopt::Std","Inline::Java","File::Copy","File::Tie"
"1247","","","","",""
"1248","DBI","SQL::Statement","Template::Toolkit","LaTeX::Driver","podlators"
"1249","","","","",""
"1250","","","","",""
"1251","","","","",""
"1252","DBI","CGI","WriteExcel","",""
"1253","PerlTK","DBI","Data::Dumper","Mail::Sender","Net::*"
"1254","","","","",""
"1255","","","","",""
"1256","LWP","DBI","Data::Dumper","Moose",""
"1257","Spreadsheet::ParseExcel","Mail::Util","MIME::Tools","",""
"1258","","","","",""
"1259","Text::CSV_XS","File::Slurp","Bioperl","UR",""
"1260","","","","",""
"1261","","","","",""
"1262","","","","",""
"1263","Catalyst","Data::Dumper","CGI","FormFu","Template"
"1264","","","","",""
"1265","CGI::Simple","DBD::ODBC","Test::Class","",""
"1266","Test::More","DBI","","",""
"1267","","","","",""
"1268","App::cpanminus","Catalyst","Data::Dumper","DBI","Moose"
"1269","LWP::UserAgent","Carp","Exporter","RDF::Trine","RDF::Query"
"1270","","","","",""
"1271","Moose","XML::LibXML","MooseX::Declare","DBIx::Class","CGI::Application"
"1272","","","","",""
"1273","strict::ModuleName","File:","QT","time","integer"
"1274","","","","",""
"1275","","","","",""
"1276","","","","",""
"1277","","","","",""
"1278","DBI","Getopt::Long","Data::Dumper","FileHandle","LWP"
"1279","","","","",""
"1280","Moose","DBI","Smart::Comments","",""
"1281","DBI","Text::Template","Parse::RecDescent","Getopt::Long","XML::Simple"
"1282","Catalyst","Moose","DBIx::Class","Template","Test::Class"
"1283","","","","",""
"1284","","","","",""
"1285","","","","",""
"1286","","","","",""
"1287","","","","",""
"1288","Moose","Vi::QuickFix","Text::Table","",""
"1289","Data::Dumper","DBI","Net::Ping","Net::DNS","LWP::Simple"
"1290","","","","",""
"1291","","","","",""
"1292","","","","",""
"1293","Carp","XML::SAX::PurePerl","File::ReadBackwards","Win32::TieRegistry",""
"1294","CGI::Application","SOAP::Lite","DBI","XML::Simple","File::Lock"
"1295","","","","",""
"1296","","","","",""
"1297","LWP","Tk","Getopt::Long","",""
"1298","CGI","DBI","","",""
"1299","","","","",""
"1300","","","","",""
"1301","DBD","DBI","cgi","log4perl","carp"
"1302","Moose","DBI","DBD::SQLite","Path::Class","XML::LibXML"
"1303","","","","",""
"1304","","","","",""
"1305","DBI","DBI::Pg","Moose","List::Utils","List::MoreUtils"
"1306","DBI","HTML::Mason","Class::DBI","JSON","Gearman::Server"
"1307","DBI","DBD::Oracle","PDF::API2","Date::Manip","Spreadsheet::WriteExcel"
"1308","DBI","MD5","","",""
"1309","","","","",""
"1310","","","","",""
"1311","Data::Dumper","MIME::Lite","CGI","Getopt::Long","LWP"
"1312","Net::LDAP","DBI","SOAP::Lite","Tk","Win32"
"1313","DBI","List::Util","Scalar::Util","AnyEvent",""
"1314","","","","",""
"1315","Data::Dumper","DBI","File::Next","File::Slurp","List::MoreUtils"
"1316","","","","",""
"1317","Catalyst","Moose","mod_perl2","Params::Validate","DBI"
"1318","WWW::Mechanize","DBD::Sybase","DBI","",""
"1319","Catalyst","DBIx::Class","Template::Toolkit","Test::More","Moose"
"1320","","","","",""
"1321","","","","",""
"1322","CGI","DBI","GD","Audio::Wav",""
"1323","Test::More","Test::Class","Spreadsheet::ParseExcel","Path::Class","HTML::TokeParser::Simple"
"1324","Test::More","Data::Dumper","HTML (all of it)","",""
"1325","DBI","DateTime","LWP","Catalyst","Path::Class"
"1326","DBI","Getopt::Long","Smart::Comments","Data::Dump","Template"
"1327","YAML::Syck","DateTime","Carp::Always","Mouse","DBI"
"1328","DBI","CGI","Catalyst","",""
"1329","dbi","Template","Log::Log4perl","Date::Manip","Text::CSV_XS"
"1330","","","","",""
"1331","","","","",""
"1332","","","","",""
"1333","","","","",""
"1334","","","","",""
"1335","","","","",""
"1336","CGI","Socket","DBI","LWP::UserAgent",""
"1337","DBI","CGI::Ajax","JSON","LWP","Imager"
"1338","","","","",""
"1339","HTML::Parser","XML::Parser","LWP::UserAgent","DBI",""
"1340","","","","",""
"1341","DBI/DBD","Mason","DateTime","Getopt::Long","Test::More"
"1342","perl4log","file","Data::Dumper","GraphViz","DBI"
"1343","DB","CGI","","",""
"1344","","","","",""
"1345","DBI","Data::Dumper","XML::Parser","GD","MongoDB"
"1346","DBI","DBD::Informix","Net::SFTP::Foreign","",""
"1347","","","","",""
"1348","","","","",""
"1349","Moose","Task::Catalyst","DBIx::Class","List::AllUtils","Yahoo::Marketing"
"1350","DBI","CGI","DataDumper","",""
"1351","Catalyst","DBIx::Class","Moose","DBI","LWP::Simple"
"1352","DBIx","Email::*","Moose","Catalyst","Data::Dumper"
"1353","CGI","XML","DBI::*","HTML::*",""
"1354","","","","",""
"1355","Dancer","","","",""
"1356","","","","",""
"1357","DBI","Moose","Dance","DBIx::Class","SQL::Abstract"
"1358","","","","",""
"1359","WWW::Mechanize","","","",""
"1360","Image::Magick","CGI","Time","DBI","Mail::Bulkmail"
"1361","DBI","CGI","XML::Simple","DateTime","Spreadsheet::WriteExcel"
"1362","DBI","XML::Simple","MIME::Parser","LWP","Net::DNS"
"1363","DBI","Log","Net","",""
"1364","bioperl","CGI","LWP","pdl","Win32"
"1365","LWP","SAP::Rfc","DBI","Encode","GD"
"1366","Catalyst","DBA","","",""
"1367","","","","",""
"1368","Moose","MooseX::Declare","KiokuDB","DateTime","Plack"
"1369","DBI","XML::Simple","Date::Manip","Net::SNMP","Net::DNS"
"1370","CGI::Application","DBIx::Simple","Try::Tiny","Perl6::Junction","JSON"
"1371","Template","","","",""
"1372","DBI","LWP","SOAP::Lite","HTTP::Request","Archive::Zip"
"1373","DBD::SQLite","XML::Parser","HTML::Parser","XML::Simple","Test::Builder"
"1374","Catalyst","Moose","LWP","App::Rad","WWW::Mechanize"
"1375","","","","",""
"1376","FINANCIAL","","","",""
"1377","DBI","CGI","LWP","XML::Parser::PerlSAX","Template::Toolkit"
"1378","","","","",""
"1379","Net::LDAP","CGI","DBI","Unicode::Map8","Unicode::String"
"1380","DBI","Catalyst","Template::Toolkit","DBIx::Class","Apache2::Request"
"1381","","","","",""
"1382","","","","",""
"1383","","","","",""
"1384","","","","",""
"1385","Catalyst","DBIx","XML","",""
"1386","","","","",""
"1387","DBD","DBD::ODBC","LWP","Win32",""
"1388","","","","",""
"1389","Template","","","",""
"1390","none","","","",""
"1391","Net::SMTP","Email::Address","Sys::Syslog","IPC::Open3","Nagios::Plugin"
"1392","","","","",""
"1393","CGI","DBI","File::Temp","JSON","Mail::Sender"
"1394","","","","",""
"1395","","","","",""
"1396","","","","",""
"1397","","","","",""
"1398","MogileFS::Server","MogileFS::Client","DBD::Pg","DBD::mysql","WWW::Mechanize"
"1399","CGI","Template","DBI","Test::More",""
"1400","Catalyst","Moose","DBIx::Class","Mojo","Search::Xapian"
"1401","","","","",""
"1402","Tk","POE","YAML","Test::Simple",""
"1403","","","","",""
"1404","","","","",""
"1405","CGI","Getopt::Long","IO::File","File::Find","Tk"
"1406","Date::Manip","Data::Dumper","LWP","",""
"1407","DBI","SOAP::Lite","LWP","Getopt::Long","Exporter"
"1408","Text::Template","","","",""
"1409","BerkeleyDB","CGI","Qt","Time::Local","FileHandle"
"1410","","","","",""
"1411","","","","",""
"1412","Catalyst","XML::Simple","YAML","LWP","File::Spec"
"1413","","","","",""
"1414","","","","",""
"1415","","","","",""
"1416","DBI","Catalyst","","",""
"1417","","","","",""
"1418","Moose","Test::More","DBI","CGI","Catalyst"
"1419","","","","",""
"1420","LWP::UserAgent","HTTP::Request","HTTP::Response","CGI","POSIX"
"1421","","","","",""
"1422","LWP::UserAgent","Test::More","JSON","URI::Escape","File::Slurp"
"1423","Net::LDAP","CGI","","",""
"1424","DBI","","","",""
"1425","POE","CGI","IO::Socket","DBI::DBD","Socket6"
"1426","DBI","Mason","","",""
"1427","Data::Dumper","utf8","XML::Twig","CGI::Application","Template::Toolkit::Simple"
"1428","","","","",""
"1429","","","","",""
"1430","","","","",""
"1431","Template::Toolkit","","","",""
"1432","","","","",""
"1433","","","","",""
"1434","DBI","DBIx::Class","Template","Moose","DateTime"
"1435","DBD::ODBC","Spreadsheet::WriteExcel","Net::SMTP","PDF::API2","Net::SSH2"
"1436","Network::IO","","","",""
"1437","","","","",""
"1438","","","","",""
"1439","DBI","Getopt::Long","Spreadsheet::WriteExcel","Net::SMTP","MIME::Lite"
"1440","cgi","dbi","dbd::mysql","dbd::sqlite","mail::sendmail"
"1441","","","","",""
"1442","YAML","PDL","","",""
"1443","DBI","Class::Std","Exception::Class","Class::DBI","CGI"
"1444","","","","",""
"1445","","","","",""
"1446","DBI","DBD::Oracle","Data::Dumper","HTML::Template","DateTime"
"1447","","","","",""
"1448","CPAN","YAML","Test::More","Test::MockObject","autodie"
"1449","Net::Twitter","","","",""
"1450","","","","",""
"1451","DBIx::Class","XML::LibXML","Template","Test::More","List::MoreUtils"
"1452","LWP::UserAgent","XML::LibXML","Tk","Getopt::Long","YAML::Syck"
"1453","DateTime","","","",""
"1454","","","","",""
"1455","","","","",""
"1456","","","","",""
"1457","Socket modules","HTTP modules","Pod2Usage","DateTime","GD"
"1458","","","","",""
"1459","DateTime","XML::LibXML","Geo::Shapelib","Image::Magick","Test::More"
"1460","","","","",""
"1461","DBI","SQL::Translator","Getopt::Long","Nagios::Plugin","Acme::BooK::Is::My::Bitch"
"1462","DBD::Pg","Data::Dumper","Class::Accessor","Apache2::Request","Template"
"1463","HTML::Template::Compiled","List::Util","","",""
"1464","Data::Dumper","Net::LDAP","Template","MIME::Lite","Dancer"
"1465","DBI","Date::Calc","CGI","GD","Image:Magick"
"1466","Moose","Catalyst","JSON","XML::Reader","LWP"
"1467","Text::CSV","","","",""
"1468","","","","",""
"1469","DBD","CGI","DateTime","GD","URI"
"1470","","","","",""
"1471","XML::LibXML","Data::Dumper","Log::Log4perl","Date::Calc","Time::Local"
"1472","Perl::Tidy","Spreadsheet::WriteExcel","Spreadsheet::ParseExcel","Pod::Simple","DBI"
"1473","DBI","File::Basename","WWW::Curl","Carp","POSIX"
"1474","date::calc","cgi::application","html::template","",""
"1475","CGI","DBI","XML::Smart","mod_perl2",""
"1476","DBI","Spreadsheet::WriteExcel","Date::Calc","",""
"1477","","","","",""
"1478","","","","",""
"1479","DBI","DBD::ODBC","CGI::Application","DBIx::Class","Data::Dump"
"1480","Moose","Catalyst","DBI","MongoDB","MooseX::NonMoose"
"1481","DBI","LWP::UserAgent","IP::Country::Fast","Regexp::Assemble","HTML::TableExtract"
"1482","","","","",""
"1483","SOAP::Lite","CGI::Cache","","",""
"1484","","","","",""
"1485","dbi","LWP","Date::Manip","File::Spec","String::ShellQuote"
"1486","DBI","Plack","JSON::XS","Apache::","Mason"
"1487","","","","",""
"1488","mod_perl","DBI","Net::LDAP","LWP","JSP"
"1489","Data::Dumper","DBI","Net::LDAP","App::cpanminus","Perl::Tidy"
"1490","mod_perl","Pg","SOAP::Lite","Net::HL7","DateTime"
"1491","DBI","Catalyst","Moose","XML::LibXML",""
"1492","Data::Dump","Math::MatrixReal","Win32::OLE","DBIx::Class","File::Slurp"
"1493","DateTime","Time::ParseDate","Event::RPC","Rose::DB","Config::Augeas"
"1494","","","","",""
"1495","Data::Dumper","Catalyst","Template","Text::Unidecode","HTML::TagFilter"
"1496","CGI","LWP::UserAgent","List::MoreUtils","",""
"1497","","","","",""
"1498","","","","",""
"1499","Lemonldap::NG::Portal","Apache::Session","CGI","",""
"1500","","","","",""
"1501","Template","Perl::Critic","Modern::Perl","Spreadsheet::Excel","Mail::Sendmail"
"1502","Date::Calc","Moose","Catalyst","Set::Scalar","Padre"
"1503","","","","",""
"1504","","","","",""
"1505","","","","",""
"1506","DBI","Error","JSON","",""
"1507","","","","",""
"1508","LWP","CGI::Application","CGI::Simple","HTML::Template","DBI/DBD::*"
"1509","","","","",""
"1510","CGI::Application","Rose::DB::Object","HTML::Template","DateTime","HTML::Element"
"1511","AnyEvent","AnyEvent::","","",""
"1512","CPAN","DBD::Oracle","Getopt::Long","Data::Dumper",""
"1513","","","","",""
"1514","strict","Data::Dumper","File:","CGI","DBIx::Simple"
"1515","libxml","","","",""
"1516","Moose","DBI","CGI::Application","",""
"1517","Tk","IO::File","File::Slurp","Data::Dumper","File::Spec"
"1518","","","","",""
"1519","DBI","Bio::SeqIO","Bio::SearchIO","",""
"1520","DBI","HTML::Mason","Devel::Profile","DBD::Pg","strict"
"1521","perl -w","DBD::mysql","getopt::Long","use strict;","time::local"
"1522","","","","",""
"1523","Net::LDAP","IO::Socket::SSL","LWP","AFS","Authen::Krb5::Admin"
"1524","","","","",""
"1525","Catalyst","MooseDBIx::Class","Moose","Template::Toolkit","XML::DOM2"
"1526","","","","",""
"1527","Catalyst","Template","Moose","File::Find","Benchmark"
"1528","","","","",""
"1529","","","","",""
"1530","DBD::Oracle","Template::Toolkit","DBIx::Class","DateTime","Catalyst"
"1531","","","","",""
"1532","Tk","","","",""
"1533","dbi","lwp","cgi","",""
"1534","Data::Dumper","Scalar::Util","Time::HiRes","POSIX","Date::Parse"
"1535","","","","",""
"1536","","","","",""
"1537","","","","",""
"1538","Getopt::Long","File::Find","Data::Dumper","Test::More","ExtUtils::MakeMaker"
"1539","Catalyst","Moose","Template","HTML::FormFu","Test::Harness"
"1540","","","","",""
"1541","DBIx::Class","Catalyst","DBI","Template","DateTime"
"1542","Spreadsheet::WriteExcel","strict","warnings","Data::Dumper","Gtk2"
"1543","AnyEvent","Catalyst","DBIx::Class","Log4perl","Benchmark"
"1544","","","","",""
"1545","Catalyst","DBIx::Class","Template","Moose","SQL::Translator"
"1546","","","","",""
"1547","","","","",""
"1548","Net::LDAP","Convert::ASN1","Test::More","Perl::Critic","Net::SSLeay"
"1549","","","","",""
"1550","","","","",""
"1551","","","","",""
"1552","","","","",""
"1553","Catalyst","Template","Data::Dumper","",""
"1554","CGI","DBI","Date::Calc","GD","LWP"
"1555","XML::","","","",""
"1556","Log::Log4perl","","","",""
"1557","DBI","Moose","strict","warnings","Data::Dumper"
"1558","Catalyst","Template","Data::Dumper","Image::Magick","LWP::UserAgent"
"1559","Data::Dumper","Net::Patricia","Net::CIDR","WWW::Mechanize",""
"1560","Catalyst","Moose","DBIx::Class","Test::Class","LWP"
"1561","Mojolicious","DBI","DBD::mysql","AnyEvent","common::sense"
"1562","Test::Simple","LWP","DBIx::Class","",""
"1563","MQSeries","net sftp foreign","SOAP if it worked","",""
"1564","","","","",""
"1565","Mojolicious","DBD::Pg","LWP","Log::Log4perl","Time::HiRes"
"1566","","","","",""
"1567","","","","",""
"1568","","","","",""
"1569","","","","",""
"1570","","","","",""
"1571","","","","",""
"1572","WWW::Mechanize","JSON","YAML","Text::CSV","WWW::Mailman"
"1573","Catalyst","Moose","DBI","",""
"1574","","","","",""
"1575","DBI","Catalyst","AnyEvent","DBIx::Class","Moose"
"1576","","","","",""
"1577","Getopt::Long","YAML","","",""
"1578","Lab::VISA","XML::LibXML","Time::HiRes","",""
"1579","","","","",""
"1580","","","","",""
"1581","","","","",""
"1582","","","","",""
"1583","","","","",""
"1584","","","","",""
"1585","","","","",""
"1586","","","","",""
"1587","DBI","DBD::mysql","OODoc","",""
"1588","dbix-class","soap-lite","dbi","",""
"1589","","","","",""
"1590","","","","",""
"1591","SQLite::DB","EV","AnyEvent","Plack",""
"1592","CGI","Math::BigInt","Chemistry::File::Formula","Math::Assistant","Algorithm::Combinatorics"
"1593","","","","",""
"1594","","","","",""
"1595","","","","",""
"1596","Mechanize","CGI","","",""
"1597","DBI","CGI::Application","HTML::Template","LWP","WWW::Mechanize"
"1598","Date::Calc","DBI","DBD::mysql","SOAP::Lite","IO"
"1599","LWP","Date::Calc","WWW::Mechanize","Config::General","Getopt::Long"
"1600","DBI","Date::Manip","","",""
"1601","","","","",""
"1602","","","","",""
"1603","dbd","dbi","WWW::Curl","Event::Lib","libwww"
"1604","","","","",""
"1605","","","","",""
"1606","","","","",""
"1607","","","","",""
"1608","DBI","DBD::Pg","CGI::Application","Template::Toolkit",""
"1609","DBI","Win32::Daemon::Simple","Net::Telnet::Cisco","DBD::ODBC",""
"1610","CGI","Date::Calc","Apache::Voodoo","",""
"1611","Bio::AlignIO","LWP::Simple","","",""
"1612","DateTime","DBI","HTML::Mason","Class::DBI","XS"
"1613","Bundle","CAM::PDF","Crypt::SSLeay","DBD::DBM","DBD::mysql"
"1614","Getopt::Std File::* XML::* Email::*","Moos Tie::* Net::* POD::*","Perl::Tidy DBI","",""
"1615","DBD::mysql","XML::Simple","Config::Simple","",""
"1616","","","","",""
"1617","WWW::Mechanize","CSV::Template","Email::Folder","Email::Template","CGI"
"1618","","","","",""
"1619","","","","",""
"1620","Catalyst","DBI","DateTime","Date::Calc","POSIX"
"1621","AnyEvent","DBI","Catalyst","Template::Toolkit","DBIx::Class"
"1622","","","","",""
"1623","DBI","","","",""
"1624","","","","",""
"1625","XML::LibXML","LWP","Time::HiRes","URI::Escape::XS","Moose"
"1626","CGI","WWW::Mechanize","Carp","Module::Pluggable","KinoSearch"
"1627","","","","",""
"1628","","","","",""
"1629","Catalyst","DBI","WWW::Mechanize","Data::Dumper","Devel::DProf"
"1630","","","","",""
"1631","","","","",""
"1632","","","","",""
"1633","","","","",""
"1634","","","","",""
"1635","Moose","POE","DBIx::DataModel","DBIx::Simple","Dancer"
"1636","XML::Easy","HTML::Mason","Test::More","CHI","Moose"
"1637","","","","",""
"1638","","","","",""
"1639","DBD::mysql","DBI","","",""
"1640","","","","",""
"1641","Log::Log4perl","DBI","MIME::Tools","CGI::Fast","Try::Tiny"
"1642","LWP","XML::API","","",""
"1643","Catalyst","DBIx::Class","Moose","Gtk2","YAML"
"1644","DBD::Pg","Getopt::Long","Text::CSV_XS","DBI","POSIX"
"1645","Data::Dumper","CPAN","LWP","XML::Simple","Date::Calc"
"1646","LWP::UserAgent","Class::DBI","XML::LibXML","JSON","HTTP::Date"
"1647","Getopt::Long","Log::Log4perl","POSIX","MIME::Lite","DBI"
"1648","","","","",""
"1649","","","","",""
"1650","WWW::Mechanize","HTML::TreeBuilder","XML::Simple","RPC::XML",""
"1651","Moose","DBI","LWP","CHI","Test::More"
"1652","","","","",""
"1653","CGI","CGI::Application","HTML::Template","Image::Magick","CGI::Session"
"1654","Plack","JSON::RPC::Dispatcher::App","Moose","DBIx::Class","Starman"
"1655","","","","",""
"1656","","","","",""
"1657","","","","",""
"1658","Image::Magick","DateTime::*","Sybase::CTlib","Test::Simple","WWW::Mechanize"
"1659","Rose::DB::Object","CBSSports::Getopt","HOP::Lexer","Gearman::Worker","MongoDB"
"1660","","","","",""
"1661","","","","",""
"1662","DBI","LWP","Test::More","Perl::Critic",""
"1663","","","","",""
"1664","LWP","Tree","Stem","",""
"1665","","","","",""
"1666","strict","data::dumper","getopt::long","date::parse","util::list"
"1667","DBI","MIME::Lite","LWP::RobotUA","HTML::Parser","Image::Magick"
"1668","DBI","Apache","Class::DBI","Data::Dumper","Mason"
"1669","","","","",""
"1670","","","","",""
"1671","Moose","POE","YAML","Template","File::Spec"
"1672","Data::Dumper","XML::Simple","CGI","HTML::Entities",""
"1673","Catalyst","DBIx::Class","Moose","Template::Toolkit","Test::More"
"1674","Moose","DBIx::Class","Storable","",""
"1675","","","","",""
"1676","","","","",""
"1677","Catalyst","DBIx::Class","Bio::Seq","Moose","MongoDB"
"1678","DBI","Moose","File::Log","Array::Unique","Benchmark"
"1679","","","","",""
"1680","","","","",""
"1681","","","","",""
"1682","ARS","Spreadsheet::ParseExcel","Spreadsheet::WriteExcel","Apache::Request","File::Log"
"1683","DBI","HTML::Template","CGI","Test::Unit",""
"1684","","","","",""
"1685","strict","warnings","CGI","DBI","Data::Dumper"
"1686","","","","",""
"1687","","","","",""
"1688","","","","",""
"1689","","","","",""
"1690","Data::Dumper","Carp::Always","File::Find","DataTime","local::lib"
"1691","Test","Moose","Graph","",""
"1692","","","","",""
"1693","POE","JSON","Gtk2","POE::Component::PluginManager",""
"1694","HTML","","","",""
"1695","","","","",""
"1696","","","","",""
"1697","","","","",""
"1698","","","","",""
"1699","Moose","DBI","Log::Log4perl","LWP","Test::Class"
"1700","CGI","","","",""
"1701","","","","",""
"1702","LWP::UserAgent","DBI","LibXML","Tk","mod_perl"
"1703","","","","",""
"1704","DBI","Spreadsheet::ParseExcel","Spreadsheet::WriteExcel","Catalyst","Moose"
"1705","Moose","DBIx::Class","Catalyst","Net::Twitter","Try::Tiny"
"1706","XML::LibXML","Template","LWP","Test::More","CGI"
"1707","","","","",""
"1708","","","","",""
"1709","","","","",""
"1710","","","","",""
"1711","","","","",""
"1712","","","","",""
"1713","","","","",""
"1714","Catalyst","DBIx::Class","RPC::XML","Template::Toolkit","WWW::Mechanize"
"1715","mod_perl2","DBI","XML::Simple","DateTime","CGI::Lite"
"1716","","","","",""
"1717","DBI","TT","IPC::Run","Moose",""
"1718","CGI","","","",""
"1719","DBI","Class::DBI","CGI","Test::More","List::Util"
"1720","use warnings","","","",""
"1721","","","","",""
"1722","","","","",""
"1723","Image::Magick","","","",""
"1724","DBI","KinoSearch","Apache2::RequestRec","CDB_File",""
"1725","PerlExcel","Find","","",""
"1726","","","","",""
"1727","","","","",""
"1728","","","","",""
"1729","Moose","WWW::Mechanize","SOAP::Lite","Test::More","Acme::Lingua::Pirate::Perl"
"1730","RRDs","CGI","","",""
"1731","","","","",""
"1732","DBD::Oracle","DBI","LWP","",""
"1733","Data::Dumper","SOAP::Lite","DateTime","Net::LDAP",""
"1734","DBI","LWP","Digest::*","Time::HiRes","Storable/Data::Dumper"
"1735","","","","",""
"1736","Apache","DateTime","List::MoreUtils","Perl::Critic","Perl::Tidy"
"1737","LWP::UserAgent","Encode","URI::Escape","List::Util","XML::Simple"
"1738","DBD::Oracle","MIME::Lite","PDF::API2","Spreadsheet::ParseExcel",""
"1739","","","","",""
"1740","","","","",""
"1741","","","","",""
"1742","Catalyst","DBD::mysql","Moose","Wx","Finance::Quote"
"1743","","","","",""
"1744","","","","",""
"1745","DBI","LWP","Moose","Net::OpenSSH","MIME::Lite"
"1746","DBI ","HTML::Parser","Template","DateTime",""
"1747","","","","",""
"1748","AnyEvent","DBIx::Class","LWP","WWW::Mechanize","Catalyst"
"1749","DBIx::Class","Template","Catalyst","POE","Test::Most"
"1750","","","","",""
"1751","","","","",""
"1752","","","","",""
"1753","Catalyst","","","",""
"1754","","","","",""
"1755","","","","",""
"1756","","","","",""
"1757","","","","",""
"1758","DBI","DBD::Oracle","File::Basename","FindBin","Getopt::Long"
"1759","CGI","IO::Socket","Data::Dumper","DBI",""
"1760","","","","",""
"1761","","","","",""
"1762","","","","",""
"1763","","","","",""
"1764","","","","",""
"1765","","","","",""
"1766","strict","warnings","Test::More","Scalar::Util",""
"1767","XML::LibXSLT","JSON","HTML::Template","Data::Dumper","MIME::Lite"
"1768","AnyEvent","Mojolicious","File::Find","File::Path",""
"1769","","","","",""
"1770","","","","",""
