"","running_perl_program_across_mult_platforms_easy","cross_platform_perl_programming_comments"
"833",6,"For the most part, it seems to be pretty easy.  Core Perl is very portable; CPAN modules can be another story.  Overall, though, I feel pretty confident about using a Perl script I've written, excluding ones with non-portable external calls/shell commands, on any computer with a modern Perl interpreter."
"834",6,""
"835",NA,""
"836",5,""
"837",NA,""
"838",5,""
"839",7,""
"840",1,""
"841",1,"I run almost all perl on Solaris boxes."
"842",5,""
"843",NA,""
"844",NA,""
"845",NA,""
"846",6,""
"847",5,""
"848",NA,""
"849",5,"Portability on UNIX-like systems is great.[CR][CR]Porting to Windows is hit or miss when using CPAN."
"850",NA,""
"851",4,""
"852",NA,""
"853",5,""
"854",4,""
"855",7,""
"856",5,""
"857",4,""
"858",NA,""
"859",6,""
"860",5,""
"861",1,""
"862",7,""
"863",5,""
"864",5,""
"865",4,"Apples perl on osx sucks."
"866",NA,""
"867",NA,""
"868",5,""
"869",NA,""
"870",1,""
"871",1,""
"872",3,""
"873",1,""
"874",4,""
"875",NA,""
"876",5,""
"877",5,""
"878",NA,""
"879",4,""
"880",NA,""
"881",NA,""
"882",5,""
"883",3,"Windows sucks, OSX seems to have some bizarro problems. There should probably be some form of automated testing occurring here."
"884",5,"It's a box of chocolates"
"885",7,""
"886",1,""
"887",6,""
"888",NA,""
"889",6,""
"890",3,""
"891",1,""
"892",1,""
"893",6,""
"894",NA,""
"895",6,"Perl has very good cross-platform feature but some programmers don't know make your applications to ""use"" this ""feature"" correctly"
"896",5,"If the programmer uses the correct tools to do it, it's easy"
"897",5,"PPM needs to die"
"898",7,""
"899",NA,""
"900",5,""
"901",NA,""
"902",NA,""
"903",NA,""
"904",NA,""
"905",NA,""
"906",NA,""
"907",NA,""
"908",3,"Anything requiring non-core modules is not something I'd like to try running cross-platform."
"909",6,""
"910",NA,""
"911",6,""
"912",NA,""
"913",7,"We have cross-platform developers (Linux deploying to Win32, Win32 deploying to Linux) so I'd say it works pretty well."
"914",NA,""
"915",4,""
"916",NA,""
"917",6,""
"918",NA,""
"919",6,"Some things are seamless; more often there are system-specific issues."
"920",6,""
"921",6,""
"922",NA,""
"923",6,""
"924",6,"It's easier than it has any right to be."
"925",NA,""
"926",4,""
"927",6,""
"928",1,""
"929",1,"I do multiple Unix versions (on about 6000 servers).   With multiple Perl versions; and sometimes not having a good set of modules.  There's a definite bias to portability and reliability that means I don't do anything very advanced."
"930",NA,""
"931",6,""
"932",6,""
"933",1,""
"934",6,""
"935",7,""
"936",6,""
"937",NA,""
"938",1,""
"939",6,"I don't do much of it, but it seems to be fine if you use the CPAN and avoid platform-specific stuff."
"940",7,""
"941",5,""
"942",NA,""
"943",2,"""Debian /and/ Redhat!"" is not cross-platform. I don't believe most of the modules were tested outside Linux"
"944",5,""
"945",6,""
"946",6,""
"947",1,""
"948",5,""
"949",6,""
"950",6,"as long as (roughly) the same version of perl is supported on all platforms and as long as care is taken to write programs in a cross platform way, compatibility is great"
"951",5,""
"952",5,""
"953",NA,""
"954",1,""
"955",NA,""
"956",4,""
"957",6,""
"958",NA,""
"959",6,""
"960",5,""
"961",NA,""
"962",NA,""
"963",1,""
"964",6,""
"965",NA,""
"966",5,""
"967",7,""
"968",1,""
"969",5,""
"970",6,"Can't remember any issues of consequence - I supposed the biggest problem would be when a CPAN module is not cross platform capable."
"971",NA,""
"972",5,"Seldom run into issues between Linux, Solaris, and OS X.[CR]Never had good experience with Windows - that seems to require more knowledge about what to avoid."
"973",3,""
"974",NA,""
"975",7,"I am always removing calls to system and exec from other people's code. Others tend to use it as a replacement for shell. When I point out that Perl often has built-ins, they are surprised. By doing so, Perl moves across platforms quite nicely."
"976",5,""
"977",NA,""
"978",5,""
"979",NA,""
"980",7,""
"981",NA,""
"982",6,""
"983",1,"I'm never sure whether a CPAN install will interfere with the currently running Linux packager, so I'm avoiding CPAN installs if possible."
"984",3,""
"985",3,"I mostly use Debian packages, so I hate it when I can't find them on other platforms."
"986",7,"It's awesome!"
"987",5,"I never tried it."
"988",NA,""
"989",1,""
"990",4,""
"991",NA,""
"992",3,""
"993",NA,""
"994",NA,""
"995",NA,""
"996",5,""
"997",4,"no"
"998",6,""
"999",7,""
"1000",5,""
"1001",5,""
"1002",NA,""
"1003",6,""
"1004",6,""
"1005",3,"Perl GUI is needed."
"1006",7,"I do it all the time (though my code is nearly always used on some flavour of Unix)"
"1007",NA,""
"1008",NA,""
"1009",6,"Again, we need cross-compiling to be possible. Sometimes, target is not able to compile perl, and it is very painful to wait for many hours that the compilation ends in qemu...[CR]Other than that, porting an application from unix to windows is easy (when not using special features)."
"1010",1,""
"1011",6,"Perl on Android would be really, really, really really really cool. Even more cool would be Perl Bindings for the Android API."
"1012",5,""
"1013",NA,""
"1014",6,""
"1015",6,""
"1016",6,""
"1017",NA,""
"1018",6,""
"1019",NA,""
"1020",5,""
"1021",5,"Not an easy thing in any language. Biggest problem for me has been having common modules installed, or having an easy way for people to install them. Net::SSLeay or Crypt::SSLeay can turn into a nightmare on Windows"
"1022",5,"If I have cross platform problems, they are mostly in my own code and not in CPAN modules."
"1023",5,""
"1024",4,""
"1025",4,""
"1026",NA,""
"1027",6,""
"1028",NA,""
"1029",2,"cpan module is not easy to install under windows, for beginner"
"1030",6,"As long as you don't get yourself into thinking that a standard Windows install is a suitable platform for running code in, how far wrong can you go?"
"1031",5,""
"1032",6,""
"1033",1,""
"1034",1,""
"1035",NA,""
"1036",1,""
"1037",NA,""
"1038",2,"Without CPAN modules, it's fine.  Depending on already-installed CPAN modules is impossible.  Distributing code + CPAN modules is a mess.  Even if it's the same platform, just different servers.  This is (for me) one of the hardest areas of perl programming."
"1039",NA,""
"1040",6,""
"1041",5,""
"1042",NA,""
"1043",6,"Perl is great for cross-platform development, but you have to closely know your target operating system to install CPAN modules."
"1044",NA,""
"1045",NA,""
"1046",7,""
"1047",5,""
"1048",NA,""
"1049",NA,""
"1050",1,""
"1051",6,"It's a lot easier with Perl than with C++ or C.  And don't get me started on the 'Porting to a new OS is easy, once you have the right set of IF/DEFs set up....' rantage.  "
"1052",5,"Location for perl binaries can change cross platform"
"1053",6,""
"1054",2,"I avoid Windows like the plague!"
"1055",NA,""
"1056",5,""
"1057",6,""
"1058",NA,""
"1059",NA,""
"1060",5,"perl itself is usually no problem,[CR]but there's quite a lot of modules on CPAN that don't work[CR](or work differently) on multiple platforms"
"1061",1,""
"1062",5,""
"1063",1,""
"1064",NA,""
"1065",NA,""
"1066",5,""
"1067",6,""
"1068",NA,""
"1069",1,""
"1070",5,""
"1071",NA,""
"1072",7,"This has made Perl very valuable in my career."
"1073",NA,""
"1074",5,"GUI support is my biggest problem as no one has the dependencies"
"1075",1,""
"1076",3,""
"1077",NA,""
"1078",6,""
"1079",3,""
"1080",5,""
"1081",NA,""
"1082",NA,""
"1083",7,"My normal practice is to develop on OSX (perl 5.8.x) and deploy to various Linuxes (perl 5.8.x or 5.10.x) and I don't think I've ever run into an issue on deployment other than a CPAN module not having been installed on the target system."
"1084",1,""
"1085",NA,""
"1086",5,""
"1087",6,""
"1088",NA,""
"1089",4,""
"1090",5,""
"1091",4,""
"1092",6,"Mind the shebang! (Linux -> Windows)"
"1093",NA,""
"1094",NA,""
"1095",5,""
"1096",1,""
"1097",NA,""
"1098",NA,""
"1099",1,""
"1100",NA,""
"1101",NA,""
"1102",NA,""
"1103",6,"a really good open source IDE is still lacking"
"1104",5,""
"1105",4,"Everything windows is a bit weird in every language :)"
"1106",NA,""
"1107",6,"Abstraction / platform independence is one thing, but sometimes you have to emulate the behavior of native applications on the respective platform. E.g. for range locking of files on Win32 you'll have to resort to Win32::API which is so general low-level that it is not yet ported to 64bit versions."
"1108",NA,""
"1109",1,""
"1110",NA,""
"1111",NA,""
"1112",6,""
"1113",NA,""
"1114",7,""
"1115",6,""
"1116",6,""
"1117",6,"If you do it right, it's pretty easy; If you get some novices involved, things break quickly."
"1118",NA,""
"1119",NA,""
"1120",1,""
"1121",4,""
"1122",5,"classis gnu toolchain under windows is pain: compiling C modules on windows is ugly."
"1123",6,""
"1124",1,""
"1125",NA,""
"1126",5,""
"1127",NA,""
"1128",NA,""
"1129",NA,""
"1130",3,""
"1131",6,"When you keep it as basic as I do, it's not too bad."
"1132",1,""
"1133",6,"Its good."
"1134",NA,""
"1135",1,"i don' use modules, wich test failed"
"1136",3,"missing GUI and SSL in core perl"
"1137",6,""
"1138",5,"perl saved my live, when I had to touch windows, a few years ago"
"1139",NA,""
"1140",6,"Keeping it simple, and pure Perl wherever possible works for me!"
"1141",NA,""
"1142",NA,""
"1143",NA,""
"1144",6,""
"1145",NA,""
"1146",6,"I'm working on it."
"1147",NA,""
"1148",1,""
"1149",7,""
"1150",NA,""
"1151",5,""
"1152",NA,""
"1153",1,""
"1154",1,"I live exclusively in Linux land so I don't really know anything about this."
"1155",NA,""
"1156",1,""
"1157",4,"Definitely a bit hairy compared to some newer languages"
"1158",3,"I've done it, but I often just reimplement platform-specific stuff."
"1159",1,"I haven't worked on such problems"
"1160",5,"It works."
"1161",7,"Anyone who uses perl on Windows has more then the evolutionary provided number of holes in their head :)"
"1162",NA,""
"1163",6,""
"1164",6,"die, windows, die :("
"1165",6,""
"1166",6,""
"1167",NA,""
"1168",1,""
"1169",NA,""
"1170",5,""
"1171",NA,""
"1172",1,"never tried"
"1173",3,""
"1174",NA,""
"1175",NA,""
"1176",6,""
"1177",NA,""
"1178",6,""
"1179",5,""
"1180",5,"it's possible but not real fun."
"1181",7,""
"1182",5,""
"1183",NA,""
"1184",6,""
"1185",NA,""
"1186",NA,""
"1187",NA,""
"1188",NA,""
"1189",1,"Windows is the sticking point!"
"1190",5,""
"1191",5,""
"1192",NA,""
"1193",5,"Not really.. file paths are about the biggest headache for me."
"1194",5,"Doesn't seem like a big deal: OS X is Unix, and Windows, well, I try to avoid writing Perl for Windows because I can't count on its being available on other people's boxes."
"1195",5,""
"1196",NA,""
"1197",NA,""
"1198",NA,""
"1199",1,"I tend to only run on unix systems, so I can't really say much about this.  Cross platform for me is Debian to OpenSolaris or OpenSolaris to Debian.  Never do run into issues."
"1200",6,""
"1201",NA,""
"1202",5,""
"1203",1,""
"1204",NA,""
"1205",6,"Great feature"
"1206",6,"Cross Platform Perl Programming is amazing.  It's pretty smooth, and I haven't had problems with it outside of CPAN modules not being installed properly.  "
"1207",NA,""
"1208",NA,""
"1209",5,""
"1210",NA,""
"1211",6,"Perl scripts generally work great cross-platform"
"1212",6,""
"1213",4,""
"1214",NA,""
"1215",5,""
"1216",6,""
"1217",1,""
"1218",6,""
"1219",5,"perl is standard on linux and macos, but should be installed on windows. Tk does not works well on macosx.[CR]using new language features (5.10 then 5.12) is not easy because many linux distro and macos follow slowly new perl versions."
"1220",6,""
"1221",5,"the basics are ok - but process activation/control for windows - requires special handling via WIN32 - which is a bad thing."
"1222",6,"Use standard CPAN modules like File::Spec and File::Basename instead of reinventing the wheel."
"1223",NA,""
"1224",1,""
"1225",1,""
"1226",7,""
"1227",NA,""
"1228",6,""
"1229",4,""
"1230",5,""
"1231",6,"it works most of the time"
"1232",NA,""
"1233",4,"I think packaging libs with an application may be more useful than installing them on the target system; bandwidth is rather cheap - searching and installation is time consuming and thus expensive"
"1234",NA,""
"1235",1,""
"1236",5,""
"1237",NA,""
"1238",5,"I use perl and perl6 on FreeBSD and Windows. I wish WxPerl/Scintilla/related was more uptodate"
"1239",6,""
"1240",6,""
"1241",NA,""
"1242",NA,""
"1243",NA,""
"1244",7,""
"1245",NA,""
"1246",6,"I have run into some difficulties, but overall, I find that most people do a wonderful job of planning their modules to not be platform dependent."
"1247",NA,""
"1248",6,"I mostly use pkgsrc and maintain cpan modules there, when I need them cross-platform. I do not use different distributions for one project."
"1249",NA,""
"1250",NA,""
"1251",5,""
"1252",6,""
"1253",7,"Often missed an alternative for usleep on windows."
"1254",NA,""
"1255",NA,""
"1256",1,"i mostly don't care, my platforms (linux, bsd) are mostly compatible for any details that might trip up perl"
"1257",1,""
"1258",1,""
"1259",4,""
"1260",NA,""
"1261",NA,""
"1262",4,"CPAN is craving for a huge amount of love"
"1263",6,""
"1264",NA,""
"1265",1,""
"1266",5,"If you stick to the CLI environment, it's great. If you need a GUI app to be cross-platform, you're boned: either you use TK (dislike) or you need separate front ends for every system..."
"1267",NA,""
"1268",6,""
"1269",1,""
"1270",NA,""
"1271",5,"A lot of the problems between linux and solaris appear to be due to the latter not using GNU tools by default (see Archive::Tar)"
"1272",NA,""
"1273",6,""
"1274",NA,""
"1275",NA,""
"1276",1,""
"1277",NA,""
"1278",6,""
"1279",NA,""
"1280",7,""
"1281",5,"Generally good and useful."
"1282",7,""
"1283",NA,""
"1284",6,""
"1285",NA,""
"1286",NA,""
"1287",6,""
"1288",7,""
"1289",5,"I haven't done much of it, but the times that I have it has worked."
"1290",NA,""
"1291",NA,""
"1292",NA,""
"1293",5,""
"1294",5,""
"1295",NA,""
"1296",7,"Excellent"
"1297",6,""
"1298",5,"Not done much of it, but what I did was straightforward enough"
"1299",NA,""
"1300",NA,""
"1301",1,"stop using windows"
"1302",5,""
"1303",7,"couldn't be better (for non-interactive batch scripts)"
"1304",NA,""
"1305",5,""
"1306",5,"WWW::Mechanize seem difficult to install on windows"
"1307",5,"Could we just vanish Windows from the face of the earth? It would make life so much easier..."
"1308",5,"ptaform programming is always a challenge even in perl"
"1309",NA,""
"1310",NA,""
"1311",5,""
"1312",7,"Usually works without any problem."
"1313",6,""
"1314",1,""
"1315",4,""
"1316",NA,""
"1317",5,"I've run into a number of problems running scripts on both windows and linux boxes successfully, but I've been out of the windows world since 2006 so I don't know how much Strawberry Perl and improvements to ActiveState Perl have brought us."
"1318",1,""
"1319",5,""
"1320",NA,""
"1321",2,""
"1322",7,""
"1323",6,""
"1324",1,""
"1325",6,""
"1326",1,""
"1327",6,"None. Perl is quite good already."
"1328",6,"thats one of the reasons i like it"
"1329",6,""
"1330",6,""
"1331",NA,""
"1332",1,""
"1333",NA,""
"1334",NA,""
"1335",NA,""
"1336",1,""
"1337",5,""
"1338",NA,""
"1339",6,""
"1340",3,""
"1341",6,""
"1342",5,"if a module A depends on module B and B is not working uner a specific OS it makes very hard to make a workaround, because A depends on B."
"1343",7,""
"1344",NA,""
"1345",4,"Solaris' PERL is lame =)"
"1346",1,""
"1347",4,""
"1348",NA,""
"1349",6,""
"1350",5,""
"1351",1,""
"1352",7,""
"1353",5,"getting better"
"1354",NA,""
"1355",5,""
"1356",NA,""
"1357",6,""
"1358",NA,""
"1359",6,""
"1360",5,"The only real problem is when you use non-Perl modules, like OS system calls or whatever."
"1361",6,"Yes!"
"1362",1,""
"1363",4,""
"1364",5,"its vital for my word"
"1365",7,"This is why I favor Perl, besides good modularity and the CPAN! My modules are intended to run on servers, together with web servers (Apache, Oracle HTTP Server, IIS), database servers (Oracle), and sometimes SAP. [CR]Platforms are Linux and Windows, both 32 and 64 bit, plus Solaris and AIX.[CR]BTW, we switched from PHP to Perl a number of years ago. Customers' administrators sometimes refused to add PHP to their servers, mostly for security reasons. Software projects are specialized interfaces between Oracle and SAP and other systems and services, and a big application creating PDFs based on configuration (30.000+ lines - now write that in C...)"
"1366",NA,""
"1367",NA,""
"1368",5,""
"1369",5,""
"1370",6,"My platforms are just FreeBSD and Ubuntu. I've never had problems running cross-platform there. Never used perl on windows or OS X."
"1371",7,""
"1372",5,"Cross platform perl programming is doable but often more painful than modern languages due to the preponderance of backtick and system calls that you see in perl scripts.  Other languages aren't used as glue as often so those system calls just don't happen as often."
"1373",5,""
"1374",7,"Strawberry Perl fixed *a lot* of cross platform issues (Alias++). Maybe CPAN meta information should include the ability to show a given module works only on some platforms."
"1375",NA,""
"1376",1,""
"1377",1,""
"1378",NA,""
"1379",6,"Building some modules can be a real pain"
"1380",4,"I've encountered a lot of difficulties when the debian package maintainers and the CPAN maintainers step on each others toes"
"1381",NA,""
"1382",1,""
"1383",NA,""
"1384",NA,""
"1385",5,""
"1386",NA,""
"1387",1,""
"1388",6,""
"1389",6,"Not really, usually if I'm writing something for another platform, it's on Windows and it's for something specific to Windows.  Unless there's a specific need to run it on another platform, I stay with Linux."
"1390",1,""
"1391",1,""
"1392",NA,""
"1393",6,""
"1394",5,""
"1395",5,""
"1396",1,""
"1397",NA,""
"1398",4,""
"1399",5,"module dependencies ... "
"1400",3,""
"1401",NA,""
"1402",5,""
"1403",NA,""
"1404",7,""
"1405",6,""
"1406",4,""
"1407",6,""
"1408",4,""
"1409",5,"remarkably good"
"1410",NA,""
"1411",NA,""
"1412",6,"windows sucks"
"1413",NA,""
"1414",NA,""
"1415",5,""
"1416",4,"Windows is the only sore point but support has been much improved in recent years"
"1417",5,""
"1418",1,""
"1419",NA,""
"1420",7,"I do cross-platform development all the time.  I've written Perl scripts that have been portable across Windows, Linux and several commercial Unix variants."
"1421",5,""
"1422",1,""
"1423",5,""
"1424",5,""
"1425",7,"There is no easy way to do patches in ""perl -MCPAN -e shell"". You have to know WHEN to pause the perl process, patch the package in /root/.cpan/ and then resume."
"1426",6,""
"1427",5,"it's fairly easy to run cross-platform but not as easy as java"
"1428",NA,""
"1429",5,""
"1430",NA,""
"1431",5,""
"1432",5,""
"1433",NA,""
"1434",6,""
"1435",7,""
"1436",1,""
"1437",2,""
"1438",1,"Windows sucks for almost everything.  Perl makes things better."
"1439",6,"Be prepared to handle end-of-line conventions correctly, avoid system calls, use modules"
"1440",1,""
"1441",5,""
"1442",6,""
"1443",6,""
"1444",NA,""
"1445",2,""
"1446",4,""
"1447",NA,""
"1448",3,"On Windows, using ActiveState perl: CPAN install uses a totally different tool than Unix which is annoying; things generally seem more buggy, especially in those parts of code where the API provided by perl is very much Unix-centric and has to be emulated on Windows.[CR][CR]We plan to move to strawberry perl on Windows which I'm hopeful will be better."
"1449",6,""
"1450",NA,""
"1451",5,""
"1452",6,""
"1453",3,""
"1454",NA,""
"1455",NA,""
"1456",NA,""
"1457",5,""
"1458",NA,""
"1459",1,""
"1460",2,""
"1461",5,"We need portability best practices."
"1462",6,"Haven't had to do it much but seems relatively trivial."
"1463",1,""
"1464",4,""
"1465",1,""
"1466",6,""
"1467",1,""
"1468",1,""
"1469",NA,""
"1470",NA,""
"1471",7,""
"1472",6,"It is extremely important to me."
"1473",4,""
"1474",7,"its no brainer, very easy"
"1475",6,"Pretty damn easy with strawberry/activestate perl.  In fact, it's just as easy as with Java."
"1476",NA,""
"1477",1,""
"1478",NA,""
"1479",4,"Perl on Windows is getting better with Strawberry Perl, but can still sometime be a pain as some modules are to dependent a Unix environment."
"1480",1,""
"1481",1,"Running the same perl program across more than one platform (e.g. linux, mac os x windows) is easy[CR][CR]Not sure about Windows, but the rest seem to be easy."
"1482",NA,""
"1483",5,""
"1484",NA,""
"1485",NA,""
"1486",3,""
"1487",NA,""
"1488",5,""
"1489",6,"Although I find it unpleasant to code things for Windows, I generally have little difficulty running the same script on many platforms."
"1490",6,"I am still searching for a tool to find all dependencies of a project and create a Perl modules package needed to install the project togethe with all neede CPAN modules."
"1491",6,"Use strawberry."
"1492",5,""
"1493",6,"My biggest issue on cross platform is modules.  Linux machines generally have most of what I need already installed.  AIX and Solaris typically need to have the modules installed."
"1494",NA,""
"1495",6,""
"1496",1,""
"1497",NA,""
"1498",NA,""
"1499",4,""
"1500",NA,""
"1501",5,"Issues mostly have to do with cygwin path styles vs. MSDOS path styles and different perl distributions behaving differently with regard to default (non-:raw) file IO.  Also some issues with -r not working as expected with nt security."
"1502",6,"strawberry perl made my day and is getting better"
"1503",NA,""
"1504",NA,""
"1505",5,""
"1506",4,""
"1507",NA,""
"1508",4,""
"1509",NA,""
"1510",7,""
"1511",6,"Some cpan modules require additional system libraries, which are cross-platform, but it's a pain in the ass to compile them on Windows. "
"1512",1,"just wrote programs on linux yet"
"1513",NA,""
"1514",6,""
"1515",5,""
"1516",6,""
"1517",7,""
"1518",NA,""
"1519",6,""
"1520",5,""
"1521",4,"i dont like windows."
"1522",NA,""
"1523",6,"Perl makes it easy to write unportable code ($cmd = `which binary`) which is good to quickly write something but which is bad to force people to write portable code."
"1524",NA,""
"1525",6,"No comments"
"1526",NA,""
"1527",1,""
"1528",NA,""
"1529",NA,""
"1530",6,""
"1531",NA,""
"1532",5,"not as easy as it could be"
"1533",3,""
"1534",5,"It's one of very few decent alternatives."
"1535",NA,""
"1536",NA,""
"1537",NA,""
"1538",3,"ouch"
"1539",5,""
"1540",NA,""
"1541",4,""
"1542",3,""
"1543",1,""
"1544",2,""
"1545",5,""
"1546",NA,""
"1547",NA,""
"1548",5,""
"1549",NA,""
"1550",NA,""
"1551",NA,""
"1552",1,""
"1553",5,""
"1554",4,"different version in different platforms"
"1555",1,"Works rather well."
"1556",6,""
"1557",3,""
"1558",4,"Very useful feature."
"1559",1,"I install Perl modules from /usr/ports wherever possible, and occasionally send patches to update ports."
"1560",1,""
"1561",6,""
"1562",1,"I have tested things on Windows under Strawberry Perl, but I develop for and on Debian Linux, despite having Windows on my desktop. It's not the worst thing in the world, but different behaviour of operating systems sometimes cannot be masked -- ie, how in Unix/Linux a shebang line is used to indicate perl, whereas on Windows it's the file association (so scripts generally have the .pl extension)"
"1563",6,""
"1564",NA,""
"1565",5,""
"1566",NA,""
"1567",5,""
"1568",NA,""
"1569",5,""
"1570",6,""
"1571",3,""
"1572",5,"Mostly works. Windows is getting better with Strawberry."
"1573",6,""
"1574",NA,""
"1575",5,"Crossplatform coding is always complex task, and for real projects can not be easy. Perl help as it can for this."
"1576",1,""
"1577",NA,""
"1578",5,""
"1579",3,""
"1580",6,"I don't report bugs because it's very likely that it's just me doing something wrong."
"1581",NA,""
"1582",1,""
"1583",NA,""
"1584",6,""
"1585",1,""
"1586",5,""
"1587",1,""
"1588",1,""
"1589",1,""
"1590",NA,""
"1591",6,""
"1592",6,""
"1593",NA,""
"1594",5,""
"1595",NA,""
"1596",5,""
"1597",6,""
"1598",6,""
"1599",1,""
"1600",4,""
"1601",5,""
"1602",NA,""
"1603",6,"It would be easier if Windows didn't suck."
"1604",NA,""
"1605",NA,""
"1606",NA,""
"1607",NA,""
"1608",5,""
"1609",6,""
"1610",6,""
"1611",6,"I haven't encountered any problems"
"1612",1,"n/a. I'm a Linux boy"
"1613",6,""
"1614",6,"Better than any other programming language that I know"
"1615",6,""
"1616",NA,""
"1617",6,""
"1618",4,"this is often why I don't solve problems with Perl: I find a close match on CPAN, try to install it, and the tests fail. Then I curse, then I start from scratch in Python."
"1619",2,""
"1620",5,""
"1621",7,"It's rather simple, but there is a lack of low-level modules with the same functionality for different platforms with generalized interface"
"1622",NA,""
"1623",5,""
"1624",NA,""
"1625",1,""
"1626",6,"Thats required for any heavily used tools"
"1627",1,""
"1628",NA,""
"1629",6,""
"1630",6,""
"1631",5,""
"1632",NA,""
"1633",NA,""
"1634",4,""
"1635",5,"I have limited cross-platform experience. But at the workplace, people use a variety of development machines (OS X, Ubuntu, CentOS). Windows is not in the picture tho. We usually code close to our production environment."
"1636",1,""
"1637",NA,""
"1638",NA,""
"1639",4,""
"1640",6,""
"1641",5,""
"1642",5,""
"1643",1,""
"1644",3,"Core perl still has way too much Unix assumptions, including the docs."
"1645",6,"it works."
"1646",1,"I try to avoid it."
"1647",6,""
"1648",NA,""
"1649",NA,""
"1650",4,""
"1651",1,""
"1652",NA,""
"1653",7,""
"1654",4,"I haven't done any Perl on Windows in a couple of years, but I've constantly had problems with it when I did, related mostly to forks/threads and some filesystem problems."
"1655",NA,""
"1656",7,""
"1657",7,""
"1658",6,"Likewise with Java this is a main advantage of PERL for me."
"1659",5,""
"1660",NA,""
"1661",NA,""
"1662",6,""
"1663",NA,""
"1664",1,""
"1665",1,""
"1666",6,"Windows sucks! That's not perl's fault though."
"1667",5,"Insufficient number of modules were ported on Windows.[CR][CR]Some modules weren't packed into Debian/Ubuntu .deb packages or .rpm packages, so installing software on Linux meet with difficulties.[CR][CR]However, most of existing modules and functions works well in different platforms (except system-specific things, as fork() or Win32::API). Threads works ugly on all platforms ;)"
"1668",5,"I don't do much of it."
"1669",NA,""
"1670",NA,""
"1671",4,"Normally works nicely,[CR]with some modules it's a pain."
"1672",6,""
"1673",6,""
"1674",4,"It's difficult if you're managing large-ish farms of different OS/Kernels, and you have a bunch of CPAN modules which need to be compiled."
"1675",NA,""
"1676",6,""
"1677",3,""
"1678",7,"I always avoid using system calls, and go for CPAN modules instead. As a result my code is usually fine when run on a variety of platforms. "
"1679",NA,""
"1680",NA,""
"1681",NA,""
"1682",6,"Generally fine, lack of good free ODBC on UNIX can be a problem "
"1683",2,"it sux, especially in comparison to JVM languages and projects that almost always run with one command. As an example I tried 3 times to get perl and DBI working with MySQL on my Mac OSX with no success, I then turned to a framework in Groovy that would do the same job and it ran in 2 commands, I have never looked back."
"1684",NA,""
"1685",4,"Activestats ppm is a good way to install module but I think there should be something officially supported by perl community (ppm repositories) that makes it easier for us to install modules on windows"
"1686",NA,""
"1687",NA,""
"1688",NA,""
"1689",NA,""
"1690",6,""
"1691",1,""
"1692",NA,""
"1693",2,"CPAN sucks, and CPANP hardly makes it any better. Tests are a nice tool for developers, but usually break things for users for (what is usually) no reason."
"1694",5,""
"1695",NA,""
"1696",NA,""
"1697",NA,""
"1698",5,""
"1699",6,"I don't use windows, but mac to linux or vice versa seems to work very well"
"1700",5,""
"1701",5,""
"1702",1,""
"1703",NA,""
"1704",7,""
"1705",6,""
"1706",3,"C modules are always hard to manage."
"1707",NA,""
"1708",NA,""
"1709",5,""
"1710",NA,""
"1711",4,""
"1712",5,""
"1713",NA,""
"1714",6,""
"1715",5,"Difficulties tend to be in code that links to external libs"
"1716",NA,""
"1717",4,""
"1718",6,""
"1719",6,""
"1720",6,"It's good but not perfect, it can still use some work"
"1721",5,"This isn't a fault of Perl, but cross-platform issues tend to surface because of the programmers' own unfamiliarity / complacency towards other systems."
"1722",NA,""
"1723",5,"I don't run very many programs that need to run outside Linux anymore"
"1724",5,""
"1725",5,"possible but not very easy, especially unix/windows, would suggest to avoid."
"1726",1,"i try to use distributions packages instead of cpan, if not possible i work around it by using command line tools. management want to maintain separate update processes"
"1727",NA,""
"1728",1,""
"1729",5,"The world would be beautiful without Windows."
"1730",1,"I have only developed for Perl on Linux/BSD."
"1731",NA,""
"1732",6,""
"1733",7,"One of the best features of perl. "
"1734",5,""
"1735",NA,""
"1736",6,"Me like."
"1737",6,"Works great"
"1738",6,""
"1739",NA,""
"1740",NA,""
"1741",NA,""
"1742",5,""
"1743",NA,""
"1744",NA,""
"1745",6,""
"1746",7,""
"1747",NA,""
"1748",7,""
"1749",1,"I dislike activestate so I do not use perl for windows"
"1750",5,""
"1751",NA,""
"1752",NA,""
"1753",1,""
"1754",6,""
"1755",NA,""
"1756",NA,""
"1757",3,""
"1758",3,"Perl is pretty stronglyUnix oriented."
"1759",6,"MS Windows isn't POSIX/Unix"
"1760",NA,""
"1761",NA,""
"1762",NA,""
"1763",NA,""
"1764",NA,""
"1765",NA,""
"1766",5,""
"1767",6,""
"1768",1,""
"1769",NA,""
"1770",NA,""
"1771",6,""
"1772",6,""
"1773",6,""
"1774",5,"It mostly works, at least as well as anything else, mostly better."
"1775",6,""
"1776",3,"It's easy enough to presume some sort of Unix. Anything beyond that is where it gets tricky, in my experience."
"1777",NA,""
"1778",5,""
"1779",5,""
"1780",7,"This is the most amazing thing about Perl. Tested cross platform modules. "
"1781",6,""
"1782",NA,""
"1783",3,"Still hard to do a few things in Windows, but ActiveState rocks. I wish we had more money to give them. They deserve it, but we went with perl as an admin tool in the first place because we have no money."
"1784",1,""
"1785",NA,""
"1786",7,""
"1787",7,""
"1788",6,""
"1789",6,"It can be a pain getting scripts that weren't meant to be cross-platform (or ones that don't care about Windows) working on Windows. But it's easy enough to do for most things."
"1790",7,""
