"","perl_best_thing","perl_frustrates_most","describe_perl"
"1214","","",""
"1215","the CPAN ecosphere and the etiquette thatit brings","lack of marketing","the swiss-army knife of programming languages"
"1216","Getting something done, even when new to it, is easy.","Doing something well can be hard.","A good general purpose programming language."
"1217","it is fun to use.","it lets you get away with too much; it is really easy to write horrible code.","intuitive"
"1218","CPAN","nothing","make love not war"
"1219","ability to quickly write working code[CR]power of expression (few lines of code can do much)[CR]rich cpan","object model as a hack[CR]deference syntax is awful and very difficult to read @{$toto->{list1}} ...[CR]as many perl style as programmers (dark side of There's more than one way to do it)[CR]xs is a scary interface language","want it now : program it with perl"
"1220","Flexibility, power, ability to address many levels of detail/granularity of data","Often is write-only language","fun while it lasted, "
"1221","you get things done very quickly, once you command the language","the syntax, which drives people away from perl","swiss army knife for automation"
"1222","CPAN and the community.","How it is viewed by others who don't know anything about it.","Gives your code freedom"
"1223","","",""
"1224","","","Compact efficient easy-to-use"
"1225","CPAN - the sheer amount, coupled with the quality and usefulness of all the modules available on CPAN is by far perl's greatest asset","The difficulty associated with installing and using multiple, interdependent modules",""
"1226","hashes - almost none of my code is done without hashes[CR]text processing[CR]CPAN","I sometimes wish the core would include a GUI regex tester - sometimes you're just blind why the regex doesn't match the input text it is supposed match... Yes there are GUI regex editors but NONE of them understands complete perl regexes.","glue powerful regex hashes text-processing"
"1227","","",""
"1228","$|++;","Modules that call die","C without pain and suffering"
"1229","CPAN","few core modules","flexible fast choice community consistent"
"1230","CPAN","","Speed, Flexibility, power, Contro;"
"1231","fast easy and you can do just about anything","","quick fast and easy just like your mom"
"1232","","",""
"1233","that it is dynamic and freely available","implicit syntactic stuff and thus very different coding styles; for simple tasks, not as ""standard"" as (g)awk","regular expressions c-like syntax big"
"1234","","",""
"1235","hot programmers","not hot programers","sexy programming language for geeks"
"1236","TIMTOWTDI[CR]Mature language[CR]CPAN[CR]Great documentation[CR]Excellent books","Perl 6 (looks amazing but when?)[CR]","Mature language for getting work done."
"1237","","",""
"1238","CPAN + Perl 6","BOMC! Badly Organized Messy Community that are not critical enough in terms of appearance","Out of Order until Perl 6"
"1239","regular expression handling.","its messy syntax.","duct tape and bailing wire"
"1240","","",""
"1241","","",""
"1242","","",""
"1243","","",""
"1244","flexibility","subroutine parameters","fast flexible powerful liberating"
"1245","Modules and RegEx","Shorthand can sometimes be confusing","Original gangsta of dynamic languages"
"1246","The flexibility and the ease of development","Many ways to do things, only most of which work as documented","Perl isn't just for JAPHs"
"1247","","",""
"1248","Easy creation of high level code with the ability of easy speed improvements with XS","Two things: long living old versions require being supported (perl 5.6, 5.8 ...)","Practical Language"
"1249","","",""
"1250","","",""
"1251","","",""
"1252","Quick development. Smart and DWIM. Short code length. Use of sigils.","Performance:Not having fully functional precompilation.","Smart allowing for higher abstraction"
"1253","- I can do a task with less code than in other languages I know[CR]- TIMTOWTDI of course[CR]- CPAN[CR]- Programming perl[CR]- I love the special variables[CR]- Can write OO Code but I don't have to[CR]- Multiplattform[CR]- best regexp integration in any programming language (i know)","- Using CPAN modules is often hard, because there a (sometimes) few examples and only api documentation and it's my turn to figure out how to use the module[CR]- Not not very easy to distribute a perl app, beacause of the module dependencies.[CR]- I would like ""real"" try/catch error handling with custom exceptions like java or .net offer","I often say: ""With perl this would be a one-liner"""
"1254","","Unsusal syntax.","Hard to maintain."
"1255","","",""
"1256","it is the best tool for solving problems i have","perceptions of perl","capable diverse tmtowtdi flexible amusing"
"1257","The enormous possibilities of data structures","I can't see a really frustrating thing.","high execution speed and usable debugger"
"1258","","",""
"1259","CPAN.","Slow pace of development over the past decade.","stable language to use"
"1260","","",""
"1261","","",""
"1262","can't think of anything. I don't like perl, I'm forced to perl.","I dont know where to begins. I understand it has been of great help for many years. but it's totally outdated.",""
"1263","the flexibility.","the job offers in my country are very spare.","A great language, although not so famous in Brazil"
"1264","","",""
"1265","","",""
"1266","dynamic, rich syntax, values (not variables) carry type, sane/simple OO inheritance rules, no 'data hiding' BS, easy to extend with C","Lots of things documented in `perldoc perlvar`; for example, $? is both the exit status of things you system, and your own exit status in an END block, so if you want to system or qx// in an END block you have to save and restore $?[CR]I would prefer longer names that are easier to remember to a lot of the line noise variable names.[CR]Glob and hash slice syntax could be better.","versatile, dynamic, OO programming language"
"1267","","",""
"1268","CPAN, test environment","i don't know.","useful, efficient, fast, dynamic, great"
"1269","Community and flexibility.","Hacky OO.","The Practical Hacker Language."
"1270","","",""
"1271","Flexibility, you can usually tackle anything with it.","The dependency chains on modules, which can make deploying an application that makes liberal use of them require half an hour of compilation/deployment to set up - and that's assuming they all build correctly.","Midguided but beautiful"
"1272","","",""
"1273","Quick to put together an application.  Lots of modules to speed development.  Regular expressions are a piece of cake.   ","Too many ways to accomplish the same task.  Syntax is irregular and therefore hard to remember.  Object are a kludgey.  COMPILING CPAN MODULES OFTEN FAILS! ","Fastest way to get a quick job done"
"1274","","",""
"1275","","",""
"1276","There is a huge active community full of helpful people using perl.","I do not use perl often enough to remember what $ before a variable means and how that differs from a variable accessed with @ or some other seldom used ascii character. ;)","widely deployed and widely misunderstood"
"1277","","",""
"1278","Syntax, multiplateforme, stability, Low level programming (network)","Old language reputation, Not enough User, Not enough teaching in computer schools ","powerful, scalable, stable"
"1279","","",""
"1280","","",""
"1281","I know it now. Also there are lots of modules.","It is difficult to know which of the any modules that claims to do something is the best one (what that means).","powerful, quick, dangerous"
"1282","it makes hard things easy and impossible things possible","trying to hire good perl programmers",""
"1283","","",""
"1284","It's fast and powerful. CPAN.","Inconsistent syntax. Small amount of core modules. Non-core modules have too much depedencies. Mix of OOP and classic syntax, OOP in Perl 5 is superfluous.","fast powerful confusing"
"1285","","",""
"1286","","",""
"1287","","",""
"1288","CPAN","CPAN",""
"1289","Perl is very intuitive and easy to program in. Solving a problem using Perl is easy and uncomplicated, and can be done rapidly. Transferring my idea of how I want a program to work into Perl is not difficult.","Nothing, Perl is awesome.","Perl is awesome."
"1290","","",""
"1291","","",""
"1292","","",""
"1293","","",""
"1294","How ubiquitous it is between systems.","maintaining other people's code. Perl encourages some lazy program, and it can be hard to interpret what the previous programmer was doing.","a widely-deployed, flexible tool"
"1295","","",""
"1296","It's easy to get things working","TAMWTDI where it isn't apply","secure stable powerful ugly"
"1297","Hashes, regexs and CPAN","CPAN module installation","Fast Efficient Powerful"
"1298","CPAN","Obfuscatory code","versatile for CGI"
"1299","","",""
"1300","","",""
"1301","flexibility","other peoples perl","powerfull informal expressive flexible obfuscatabl"
"1302","","",""
"1303","speed, compatibility, pervasiveness","unreadable code","write-only language"
"1304","","",""
"1305","perl golf in practice","missing perl6","swiss army chainsaw"
"1306","CPAN","",""
"1307","There's always a dozen ways to do something.","There's always a dozen ways to do something.",""
"1308","many ways to come to reach the goal","short code i can't understand","quick and dirty "
"1309","","",""
"1310","regex","Too many ways to solve a problem leads to a language which does not encourage good practice.",""
"1311","speed to market for any given project. ease of maintaining a project by all levels of perl guruness.","nothing","no challenge too great. "
"1312","that it makes easy things easier and impossible things possible.","its poor reputation in the software industry.","Perl does it all"
"1313","","",""
"1314","That not many people seem to use it anymore.","That it even exists.","Perl, the last resort."
"1315","CPAN","unmaintainable legacy code from pre-5.8.x times","powerful "
"1316","","",""
"1317","Its flexibility.","The OO systems lack of builtin tools (though Moose makes me very happy, and I use it, it's hard to convince others that unrolling @_ is a good thing)","Gloriously unfettered and horribly misunderstood."
"1318","something I haven't learned yet.","There are so many ways to make it cryptic.","cryptic, powerful, write-only, experts-only"
"1319","CPAN and community","Badly designed websites and not simple enough introductory copy","The best tool for most jobs"
"1320","","",""
"1321","-","unreadable code","outdated"
"1322","It's fast and there's no such hipe about it as around php.","not really something.","The path to the silent void"
"1323","CPAN","It's reputation amongst non-Perl programmers",""
"1324","Hashes, regexes","Extremely large language, syntax a little scary in the corners.",""
"1325","","",""
"1326","that it can interact / interface with almost any other software technology (except Blender 3D, AFAIK).","it is really difficult to convey to others why perl is so special and powerful, and to get them over the bias against use of sigils and the noisy look of obtuse perl.","powerful, expressive, "
"1327","CPAN & community, expressiveness and flexibility, maturity","Perl 6 takes so long to be production ready!","Mature, general, expressive dynamic language"
"1328","its flexibility , you can do anything and quickly","that python is eating its resources whilst being not as good","the worlds first romantic programming language"
"1329","","",""
"1330","Hackability, ie. ability to quickly develop a solution for just about any problem, however very seldom beautiful, efficient or easy to understand to an outsider.","",""
"1331","","",""
"1332","regex","","if there wasn't perl I'd have given up programming"
"1333","","",""
"1334","","",""
"1335","","",""
"1336","","",""
"1337","","",""
"1338","","",""
"1339","CPAN","The marketing of perl sucks. And also: most programmes tend to live in their own world, not seeing whats going on in the net. [CR]This surveys is a good example for this: Bad usabilty, bad support for accessibilty and no use of modern concepts of webstandards.[CR]Design and usabilty of applications are mostly set as equal to the language which was used. If I try to see this survey as a example of perl-applications, then I have to notice, that most PHP-/jQuery-Applications will do it better.[CR]","there is no problem, perl cant solve"
"1340","its versatility","its OO features","powerful, concise, dangerous, beautiful, evolving"
"1341","The community","The community","Best career choice I've made"
"1342","cpan and community","speed and weaken type system","perl is good clue"
"1343","its reliability, robustness, backwards compatibility.","difficult-to-read code written by other people in Perl.","reliable robust backwards-compatible quick"
"1344","","",""
"1345","CPAN, freedom, TIMTOWTDI","Obfuscation, write-only language (in most cases)[CR]Poor employments :(","Can do almost everithing with perl"
"1346","","",""
"1347","Flexability","Tmtowtdi","Freedom to inovate and fix"
"1348","","",""
"1349","People love it.","Lack of Marketing","A nurtured language."
"1350","","",""
"1351","mostly the code is short","some CPAN modules are released in early stages but never expanded to a mature level","mostly does what I want"
"1352","CPAN.[CR][CR]One liners.[CR][CR]How easy it makes the common things, but see below.","How the community defines ""common things"" as system admin work and text processing, not web applications or objects.[CR][CR]Hell, even functions are more difficult in Perl than anywhere else.  This is the only language I use regularly where I have to debug whether variables arrive safely in the function, I have to look for and debug the ""my (...) = @_;"" statement whenever I go into any function.  Perl makes things like map and grep and foreach and hashes and lists work beautifully, things that lower level languages force you to do by hand, but then it makes functions more difficult.[CR][CR]Basically, this slows me down when I have to debug large code bases.[CR][CR]I wish the perl community would define functions and objects as ""common things"", and make them easy and standard.  Moose is a *start*.  mod_perl is a *start*.  Neither of them are as easy to use as some of their competitors.","glue, glue, and more glue"
"1353","versatility, ease of use, fun to use","complete docs only in english","versatile, easy, fun"
"1354","","",""
"1355","","",""
"1356","","",""
"1357","it's easy to get thinks with little efford","a set of reference applications in common scenarios: CMS, Queing, ESB, ...","saves my time and my money"
"1358","","",""
"1359","","",""
"1360","It's interpreted, not compiled.","It's reputation for being old and crusty","It can do everything somehow"
"1361","CPAN","TMTOWTDI","stable, portable, powerful, fast"
"1362","It doesn't get in the way. I can (usually) just write down what I think and don't have to worry much about the language instead of the problem. ""executable brain dump""","Can't think of a single thing, there are lots of small problems: Ugly syntax, DWIMmery getting out of hand, leftovers from Perl4 days (and retained infinitely for compatibility), no remote debugger, memory hog, ...","ugly but practical"
"1363","fast results for small applications","big applications are much harder to maintain than in non-script languages like Java, C++ or C#","old easy weird script different"
"1364","fast development time","hard to maintain, easy to abuse","excellent"
"1365","Openness and a huge number of available modules at hand - together with portability","speed of complex calculations","flexible and versatile"
"1366","Community","Hasn't got enough enthsiasts nearby.","I want to learn more Perl"
"1367","","",""
"1368","the lack of marketing","the lack of marketing",""
"1369","Its flexibility","Its flexibility",""
"1370","CPAN. Its regexes. I highly value perl for how quickly I can write useful unix oneliners/scripts.","I think perl's object support is laughable. it is annoying to write, inflexible, and formally just backwards. it makes writing modern, reusable code nigh on impossible (at least in the way that every other OO language does it).[CR][CR]I find the perl community to be insular and hostile to other languages. At YAPC, there was definitely some Haskell and Ruby love, but by and large I get the sense that inside the perl community it's ""us v. them"" where them is usually Python or PHP. The people in the perl community I hear this from just come off, then, as being religious about their language.[CR][CR]Perl's implementation is incredibly ad-hoc and unformalized. Even now, in 5.12, 23 years after perl's birth, it feels like some hacked-together scripting language. This is awkward, to say the least. What am I referring to? OO, the vagaries of param/arg patterns in core functions, sigils, context-sensitive evaluation, putting a true value at the end of a module (ridiculous, especially for learning programmers), packaging modules, the lack of a robust, well-supported interactive interpreter, lack of actual function parameters, having to ""use strict; use warnings"" at the top of every file, EXPORT_OK (nuff said).[CR][CR]I write Perl because that's what my company writes. But over time here I've learned to strongly disfavor it--I'd eagerly write Python or Ruby any day (Less so PHP--but hey, at least it has actual classes). As a computer scientist I'm annoyed by how informal perl is and as a hobby/career programmer I'm annoyed at how the language works against me when trying to write extensible, reusable code.[CR][CR]And don't tell me to go install Moose--I tried. The dependency chain was so long I got nowhere in over an hour.","hacky informal loose tricky old"
"1371","","",""
"1372","Perl is close enough to the system level to be very efficient for socket IO and file handling.","Perl allows you to do things in any way, shape, or form so it requires 10x the rigor of other, more rigid languages in order to write maintainable code for long-term sustainability.","powerful and inscrutable"
"1373","it is a swift language to program.","the attempt to emulate an object oriented language.","It is ubiquitous."
"1374","Very fast development while remaining scalable and maintainable; amazing community; TIMTOWTDI; CPAN; the fact that I had to think for over 5 minutes just to find a 'thing that frustrates me most about perl' for the next box :)","XS; not being able to generate fast static code that doesn't require perl; (perl) not being recognized as a modern language and a big player by some companies and universities.","Idea. Perl. Done."
"1375","","",""
"1376","available ","installing a CPAN module was difficult even in communication with its author - not very helpful ","works"
"1377","CPAN","","TIMTOWTDI  regexes "
"1378","Easy to learn. Easy to write prototype than in c/c++","At times code is hard to read",""
"1379","Flexibility","Debugging","Flexible, fast, easy, reliable"
"1380","CPAN","CPAN","Flexible, powerful, fun, useful"
"1381","","",""
"1382","its inherent ability to manipulate human languages","lack of development frameworks available through hosting services","for humans"
"1383","","",""
"1384","","",""
"1385","powerfull","syntax","quick time to market"
"1386","","",""
"1387","See ""high order perl""","GUI. Lack of executable binary code","The most powerful, flexible language"
"1388","the effective usage of strings and arrays","the ugly syntax",""
"1389","I was going to say the community, but the CPAN would actually be what I rank as the ""best"" thing.  The community is amazingly great, too, though.","bad programming habits of programmers being seen as ""THE"" way Perl is written. Poor coding by several programmers has given Perl a black eye with many people and has left them with a false impression of proper Perl coding.","mature customizable swiss fun"
"1390","I can understand it, as a non-professional programmer, and it ""does what I want"".","My difficulty mastering OO techniques in it.","easy, powerful, enjoyable"
"1391","regular expressions","","swiss army chainsaw"
"1392","","",""
"1393","Flexibility; the language has a lot of power (which I think tends to touch on the LISP-derived features).","CPAN modules get stale, and RedHat appears to always screw up the stack, to the point where, for production, I'm transitioning from CentOS/RHEL to Debian for the Perl projects.  This has been a source of pain -- e.g. just look at running Amavisd-new on RHEL and have RedHat spike the Scalars and File::Temp every couple of weeks.","A programming Swiss Army knife"
"1394","flexibility","context is all","ideal tool for text processing"
"1395","There's more than one way to do it","There's more than one way to do it",""
"1396","Quick and dirty, powerful","","Quick and dirty, powerful"
"1397","","",""
"1398","The range of libraries and ubiquity of runtime.","Date parsing is bloody slow or requires additional packages.","good for quick hacks"
"1399","orielly books, community, cpan","when people think it's 'legacy'",""
"1400","CPAN","Dependency Chains","swiss army chainsaw for the internet"
"1401","","",""
"1402","Quick, robast and powerful tool","Lack of good IDE and debugger","great thing (when you know it well)"
"1403","","",""
"1404","","",""
"1405","Tim Toady","",""
"1406","regexes","regexes","concise cryptic frustrating liberating"
"1407","it's powerful language constructs like map / grep in combination with regular expressions","Perl definitely needs a look into language features supporting better IDE support (= better possibilities for static code checks etc.). Unfortunately currently the development goes in the wrong direction: See 5.12.0 announcement ""New experimental APIs allow developers to extend Perl with ""pluggable"" keywords and syntax. ""","powerful elliptical laissez-faire timid"
"1408","regular expressions[CR]the subset of CPAN that is amazingly, incredibly, exceeds-your-every-expectation, awesome in ability, ease of use, and documentation all at the same time","regular expressions[CR]the crazy relationship between package names and file names and scope in packages[CR]use strict; not being enabled by default",""
"1409","The multitude of syntactic possibilities. It never becomes boring. After years of using it I still discover new things. The huge number of modules in CPAN.","","power easy quick"
"1410","","",""
"1411","","",""
"1412","I have been able to accomplish 99% of any task with perl","people associate it as a weak language and a second choice to php","superior portable fast mature comprehensive"
"1413","","",""
"1414","","",""
"1415","cpan","",""
"1416","it fucking rocks","The most commonly used features (such as warnings and strict) are not default","the best programming tool"
"1417","Alot Of what makes Perl a useful tool has little to do with the language. For the most part the presence of perl everywhere along with access to good libraries Via CPAN, makes it an excelent language for use in quick and dirty scripting and small development aids... note perl has for the most part replaced bash for my scripting needs","The sense that the language has stalled... Perl 6 hasn't appeared and CPAN is increasingly full of orphaned libraries","Rapid Development"
"1418","","",""
"1419","","",""
"1420","Support for multiple programming paradigms, CPAN, rapid development.","Because perl is so forgiving about certain things, it can make some kinds of bugs harder to find.","rapid development flexible fun"
"1421","you can do anything you can imagine","","imagine create develop run publish"
"1422","CPAN","Limited OO-style programming support. (And yes, I am aware of Moose, I just feel the core language needs those features).","git er done"
"1423","regular expression handling and hashes","references",""
"1424","","",""
"1425","You can do systemcalls but also have a powerful objectoriented system. With Perl Object Environment you have the best event driven framework ever!!!","Beside POE very bad IPv6 integration!!!","The kernel in your hand - from bottom to top"
"1426","It does what I expect it to. It doesn't limit me.","The lack of buzz. Perl seems to be excluded when other scripting languages are mentioned. Also, it doesn't seem to get as many new bindings to compiled libraries as, say, Python.","awesome!"
"1427","regular expressions and CPAN","unreadable code","the most powerful one-liners"
"1428","","",""
"1429","","",""
"1430","","",""
"1431","","",""
"1432","TMTOWTDI","",""
"1433","","",""
"1434","The community. And CPAN.","Bits of the community.","flexible, powerful, ubiquitous"
"1435","","",""
"1436","It's high level of flexibility in ways to approach development","Many of perls most useful features are not well-known enough by developers who only occasionally use perl, making it difficult to use them when writing maintainable applications","Tremendously flexible scripting language"
"1437","Regex","Troubleshooting","Powerful tool for data processing"
"1438","regexes","syntax, magic","bad function declarations"
"1439","It's fun and it helps to do the job.","Many helpful modules not included in core perl.","powerful flexible "
"1440","It feels good to write Perl code.","Perl's precieved second class citizen status.","extremely fun to write"
"1441","flexibility, availability and regexp integration","OO","looking forward to perl6"
"1442","hash","ipv6 support","concise, easy to write, fun"
"1443","","",""
"1444","","",""
"1445","","trying to figure out how the interpreter screwed up assuming what you were trying to do",""
"1446","","",""
"1447","","",""
"1448","Supports every programming paradigm I want to use, and mixing them works well.","core perl modules don't provide much and CPAN modules are sometimes quite poor in quality (esp. on Windows which is usually a second-class citizen)",""
"1449","","",""
"1450","","",""
"1451","Purely linguistically, compared to its closest competition: lexical scoping.[CR]In the wider sense: CPAN.","Lack of syntax for declaring classes and methods, or for declaring subroutines' arguments",""
"1452","Simple things are simple, and hard are possible.","Always fearing that perl's great stability gets lost.","fast concise"
"1453","","lack of function prototypes/argument lists[CR]lack of proper public/private class variables",""
"1454","","",""
"1455","","",""
"1456","","",""
"1457","Whipitupatude","The usual:[CR] * lack of organized parameters for subs[CR] * no simple recursion in regexps (hard to bracket match)[CR] * regexps in general - I use them all the time, but they can't do everything (perl6 grammars look like a very nice solution to this)[CR] * I would prefer more CPAN modules get installed by default - it isn't always easy to get the IT department to install modules.  Just yesterday I had to write my own Base64 encoder because the MIME::Base64 module was not installed and it was going to take too long to get it installed[CR]","Language that Gets Things Done"
"1458","","",""
"1459","flexibility","hash in a hash in a hash with an array somewhere","flexibility good library easy to learn"
"1460","Perl comes with every Linux distribution","bad documented CPAN modules","easy to use and mighty"
"1461","CPAN.","Threads.","Practically Explosive Rapid Language"
"1462","CPAN.  Also language is flexible and having to declare variables before use sets it apart from other loosely typed languages.","People who don't 'get' perl...","flexible powerful interesting"
"1463","its abstaction level","","don't get into my way"
"1464","CPAN","Debugger","fast flexible powerful scalable elegant"
"1465","Text manipulation.","Not seen as a ""cool"" language.","succinct, powerful, quick, fun, abusable"
"1466","CPAN","Readability",""
"1467","map","@ in double quoted strings having become special","do what I meant"
"1468","","",""
"1469","CPAN","syntax",""
"1470","","",""
"1471","Flexibility","Flexibility...",""
"1472","CPAN","Having to listen to tired old jokes about Perl being linenoise.","Perl gets things done."
"1473","Easy, quick to code, CPAN repositories, mod_perl","Debugging sometimes tricky due to ""random"" error messages","Simple easy powerful useful"
"1474","cpan","nothing","perl is great!"
"1475","CPAN","It is hard to remember everything you can do in Perl via syntax and special constructs or variables.","Perl can do anything."
"1476","Ability to work at a high level to develop code quickly","Poor integration with Web servers for large scale projects compared to e.g. PHP",""
"1477","powerful string handling","obscurity of code","Powerful but confusing"
"1478","","",""
"1479","CPAN and the entire toolchain that surrounds it.","Lack of function signatures.","powerful flexible esoteric"
"1480","The Modern/Enlightened Perl movement, especially Moose.","That I can't use Perl6 in production yet :)","so flexible it hurts"
"1481","CPAN repository","very idiomatic","utilitarian"
"1482","","",""
"1483","","",""
"1484","","",""
"1485","I can write perl in a variety of different styles: procedural, oo, functional","Lack of knowledge or understanding of Perl (and other open-source software) among mostly-Microsoft-centric and mostly corporate drones. ","universal and essential"
"1486","","",""
"1487","","",""
"1488","Flexibility and power","The lack of a local community","The best ""glue"" programing language"
"1489","Even someone who only knows shell scripting can be productive in perl almost immediately.  At the same time, as you grow more as a programmer, you can still be extremely productive in perl without ever outgrowing it.","I wish I could use perl for absolutely everything, but for many small tasks or tasks that involve interacting with other command-line applications, I'm simply faster at writing shell scripts.","pathologically eclectic rubbish lister"
"1490","the flexibility.","the sinking quality of the CPAN repository (missing or wrong dependencies etc.).","flexible stable portable fast irritating"
"1491","It's not too verbose.","Poor object handling (although Moose corrects a lot of that).",""
"1492","closures","People dismiss it out of hand as ""line noise"" or out dated.","not dead yet, feeling better"
"1493","","",""
"1494","","",""
"1495","that it gives me the power to do things","that it is on so few desktops and servers","powerful, expressive, programmer-trusting"
"1496","that it is fast","perls lack of types","fast flexible old hackable"
"1497","","",""
"1498","","",""
"1499","Syntax and regexp","Module availability as packages for Linux distros",""
"1500","","",""
"1501","DWIMmyness and TIMTOWTDI; low cost / lines-of-code for developing toolchains; CPAN.","readability, especially of short ""one-off"" scripts (pack and regular expressions are somewhat to blame for this, even though I love them); public perception of perl as unreadable; inability to know what's best on CPAN.","an elegant multitool"
"1502","speed of development and CPAN","the prejudices against the language","gets the things done fast"
"1503","","",""
"1504","","",""
"1505","Speed in comparison to other script languages.","Missing OOP features, global variable scope.","Perl is a good, fast and easy scripting language."
"1506","","",""
"1507","","",""
"1508","probably is suitable for everyday use.","so many modules and packages on CPAN.",""
"1509","","",""
"1510","how much I love it","how much I love it","joy light fun wow nirvana"
"1511","THERE'S MORE THAN ONE WAY TO DO ME","You can not guarantee the quality of cpan modules/libraries","Awesomeness"
"1512","the fast built-in regex parsing","the cryptographic ways to do things[CR]the bad documentation structure","ugly but allows short programs"
"1513","","",""
"1514","Perl has the fastest ""concept to production"" turn around of any language I've worked with and is still the best tool for flat file manipulation in batch processing.","Perl's scalability is still an issue. Inheritance and other Object Oriented ideas still feel bolted on rather than integrated.","Powerful scripting language easy learning curve"
"1515","regex","obscure syntax with all these obscure variables",""
"1516","","",""
"1517","Makes hard things easy.","When people call programs ""scripts"".  I'm a PROGRAMMER, not a scripter, dammit!","is a real programming language"
"1518","","",""
"1519","","",""
"1520","","",""
"1521","fast, flexible, simple, tight with shell.","OO programming and people who use modules that have to be installed. if you have to include something foreign in your code, it should be included in your code.[CR][CR]kind of like a .jar lib in java.","simple, fast, flexible, regex."
"1522","","",""
"1523","Its flexibility to adapt to all sorts of different problems. And its flexibility to adapt to all kinds of programmers.","too many different modules which aim at the same problem.","powerful, flexible, language with personality"
"1524","","",""
"1525","Versatility, _£___ü___µ„€„_¡_È„Œ____„„‚„Œ :-))))","Encapsulation of data in object oriented programming, operator overloading with bugs .... ","TMTOWTDI"
"1526","","",""
"1527","data munging facilities, allows compactness when needed, CPAN, Perl community, sheer beauty","the inability of Perl to resolve a more complex data structure like $stored{ $name }{ handle } or a function call in a print statement.","powerful and fun tool"
"1528","","",""
"1529","","",""
"1530","Culture","Obscure codes","this awesome language changed my life "
"1531","","",""
"1532","obfuscated programs","obfuscated programs",""
"1533","","",""
"1534","It's ubiquitous.","It's incredibly warty.","Better alternatives exist now."
"1535","","",""
"1536","","",""
"1537","","",""
"1538","incredible flexibility","lack of a comprehensive, multi-platform, professional-quality library","The swiss army chainsaw of scripting languages"
"1539","There's more than one way to do it","Implicit.","Fast, Funny, Power full, Implicit, Dramatic"
"1540","","",""
"1541","","",""
"1542","easy to use","Moules witch do not only use pure perl, but for example warp libs are hard to install - Linux and windows as well - Some hints on  cpan may help","free, flexible, extendable, easy, ""good code"""
"1543","perl","coworker running into problems and asking me","fast results, speed, all is possible"
"1544","","",""
"1545","CPAN","CPAN Module Installation",""
"1546","Regexp","","powerful cryptic intuitive "
"1547","","",""
"1548","CPAN","that's not obvious how to right the correct code.","fast sexy geeky robust fun"
"1549","","",""
"1550","Its shortcuts - and wonderful string handling abilities.","The daft syntax, you end up adopting  because other people write code like that.","tangled elephant "
"1551","","",""
"1552","Fast.","Learning.","Wish I had more time."
"1553","","",""
"1554","its free ","",""
"1555","the scaleability","the weak oop support. look at java!!",""
"1556","A lot of modules ...","Bad integration into Debian Linux (mods are not always on the latest version, hard to find out, which modules are which Debian packages).",""
"1557","CPAN","OO not built-in. ""use strict"" not on by default.","Expressive Powerful Terse"
"1558","It's dynamic capabilities.","It's dynamic capabilities.","I like it."
"1559","Speed","Context sensitivity and implicit things in the syntax.","double-edged sword"
"1560","The CPAN","Maintaining old or ""baby"" Perl code","Swiss army language with tests"
"1561","timtowdi, modern perl, anonymus sub and hash, cpam, one liner, mojolicious","speed, web support, perl 6 :)","timtowdi, pretty, best language, golf, cpan"
"1562","","",""
"1563","works well for every thing except serious app development and SOA","poor support for SOA. poor support for OO app development (pre Moose) lack of enterprise standards for app development ala j2ee","great except for SOA"
"1564","","",""
"1565","","",""
"1566","","",""
"1567","Regular expressions built in.","How easy it is to write crappy code.",""
"1568","","",""
"1569","simple, yet powerful","use projects that use many CPAN modules, which depend on many CPAN modules, etc.  Especially ones that depends on a module that depends on the first.","simple, powerful, fast, portable, cool"
"1570","quick to code up useful tools","6.0 is taking too long to ship.",""
"1571","CPAN","Line noise that poses as syntax.","Useful in the '90s."
"1572","It doesn't get in the way.[CR]It fits how I think.[CR]CPAN.","Perl 6 taking so long to get in people's faces.","It just works and CPAN."
"1573","TIMTOWTDI","Perl 6 ","Power"
"1574","","",""
"1575","It's free","",""
"1576","Um, easy to hack stuff up?","God awful, terribly hard to read code.  Really being outdated by nicer languages like python, ruby.","Spaghetti code."
"1577","","",""
"1578","$_, CPAN, speed","",""
"1579","compact","bad syntax",""
"1580","Flexibility","Lack of good IDE's and tools (AFAIK)","powerful flexible dynamic scripting"
"1581","","",""
"1582","","",""
"1583","","",""
"1584","","",""
"1585","","",""
"1586","hashes :)","","TMTOWTDI"
"1587","similar to C and better with text","debugging cryptic obfuscated code. ","powerful open source scripting language"
"1588","easy to pick up and learn, easy to extend language with cpan","the code becomes ""noisy"" even if you maintain it well. Also, OO just isn't there when compared with newer languages",""
"1589","easy to embed in shell scripts and has native support for regular expressions.","hard to debug",""
"1590","","",""
"1591","Its ubiquity and plethora of modules.","Hash/HashRef differences when going back and forth between languages.","helps you get shit done."
"1592","","",""
"1593","","",""
"1594","CPAN (which only exists because of how the Perl community is)","Perl is large, complex and I usually can't remember the tricks I used in old programs","large complex flexible practical"
"1595","","",""
"1596","The various ways of doing things with Perl.","The weak object orientation.","simples, pr‡tica, ex—tica, robusta, livre."
"1597","CPAN","It's hard to maintain CPAN-Modules on a production server, e.g. security restrictions, no compiler, missing librarys. use strict should be a default.","Swiss Army Knife "
"1598","have a lot of modules, with a lot documentatation","GUI programming","very good programming language but not so popular"
"1599","dwim-ness","OO syntax, references, no default strict",""
"1600","Best language for quick data analytis","Object Oriented Programming with Perl is confusing","Easy Quick"
